"idx","content","star"
"22","（其实看的是这一版）余华在序里说，外人看起来是悲剧，可当事人只拿它当一段人生。突然理解了孟京辉选黄渤做主角的用意，当真是绝妙的一笔。在甘南的这一路读完，尤其是在桑科的那一晚，读一会儿便抬头望望藏民，或埋头熬茶，或无声诵经，或扯着裤子站在自家草场上发呆，或招揽过往游人夸耀着手上这匹老马。No judgement. It's just life.",""
"23","正如作者自己所言，只有从第一人称的来写才不可以悲惨。只有自己才能让生活充满期待。","推荐"
"24","小说不长，三个小时就翻完了。然而中间眼睛湿了好几回：儿子被抽血过多去世，女儿产房大出血去世，妻子去世。都在同一家医院。女婿被石粘板夹死，外甥被豆子噎死。见过生命太多的苦难，而最大的苦便是在亲手埋葬了亲人之后一个人活着。","力荐"
"25","人是为活着而活着，而不是为了活着之外的任何事情而活着。","力荐"
"26","当过败家的二世祖，娶过城里的富小姐，气死了爹，病死了娘，最后妻子儿女女婿孙子全都没了，以这样平铺直叙的方式简单直白的说完了“福贵”的一生，除了一声叹息，两滴同情的热泪，我好像也想不出有什么办法可以挽救他的每一次悲剧。有些是天灾，有些是人祸，有些是命中注定，那个年代好像总有太多自己无法决定的命运。最终他说：“人是为了活着本身而活着的，而不是为了活着之外的任何事物而活着”，送走了全家老小，在妻儿的墓旁为自己留着方寸土地，在枕头下留着给收尸人准备的酬金，放下一切，淡然的与一头老牛相伴，似乎已是极好却也真的是无可奈何的生活。","推荐"
"27","得去找部爆米花片子缓解一下- -",""
"28","许三观是守得云开见月明，而福贵身边人却全都死光了，只剩下身边一头老牛陪伴着，中国二十世纪的社会变迁导致的惨淡农村生活全都浓缩进了这部小书里，福贵倒是很坚韧，在苦难面前的阿Q精神反而让他带着种乐观，只是不知道身边这么多亲人死去赢来这样一种态度到底值得不值得，这份活着实在是太沉重。然而再沉重读起来都是流畅、快速的，简洁又生动固然不错，但余华是在塑造一种力量，这样却最终导致了力度的欠缺。而且为苦难而苦难的矫情看的有点难受——也许是因为对福贵一家产生了同情，或者更让人难受的是我们认为他是可悲的然而他自己却不这么认为。下次如果我再看许三观，看到他的“幸运”，估计会更加感慨万千吧。","推荐"
"29","这本书太冷静，叙述和文笔太朴素，以至于当悲剧和死亡接踵而至我捧着书都有点喘不过气。人总需要勇敢生存，福贵身上那种意志，让人感受到活着的力量。","力荐"
"30","老觉得这只是个小说介绍...真正丰满的故事还没开始...",""
"31","黑发人送白发人 白发人送黑发人 白发人送白发人 救一头牛为你送终","力荐"
"32","二喜和苦根的死有点刻意。电影版的结尾比较正常。","力荐"
"33","只说缺点，对忍耐式的美德的近乎病态的呈现和歌颂，在智德视角上的缺失是中国作家乃至是中国思想家的通病，日本人在这方面要比我们早早醒悟许久。","力荐"
"34","初中读只觉得这人可真惨全家死光光，现在再看便觉得鲁迅说的对，真的勇士敢于直面惨淡的人生。面对不可预知的未来和没有尽头的苦难，活着便是最大的勇气。哈利波特里罗琳总是把代表勇气的格兰芬多放在最重要的位置上，当时认为幼稚，比起虚无缥缈的勇气，明明野心和智慧在真实世界才是真正有用的。看了罗琳自身的遭遇才明白为什么勇气对她来说如此意义重大，对我又何尝不是呢，只不过做学生时没有经历便意识不到罢了。","力荐"
"35","感觉读序言比正文收获多，他知道自己想写什么，也知道写成什么样是好的，但却没写出来","还行"
"36","太惨了，建议所有中国官员都读三遍，然后再想想自己应该怎么做官。","力荐"
"37","开头说到，有些老人对自己的过去说不上来，年轻人就骂他们：一大把年纪活到狗身上去了。说富贵和别的人不一样，他能够记得并讲述自己的一生，而且带着反思的光芒。是的，很多老人活了很久根本还像出生时一样无知，人生经验在她们呢根本就是零，没有思考没有经历因此也有没有经验可谈，没有经验积累，活了多少年都是一样，他们只是生活可以自理的傻子，对于疼痛也就不那么尖锐。","推荐"
"38","用了三天时间就看完了拖了若干年都没看的经典，不知道是这几年看的书太多了，还是历经沧桑世事，总之并没有想象中的震撼和惊喜。我们对于书，对于经典的际会相逢也得讲究个时间和契机，相遇的太早是囫囵吞枣，相遇的太晚已经是波澜不惊。","推荐"
"39","小说没有电影出色，余华的故事很好，但是讲得太流水账。","推荐"
"40","全文没有一个好词好句依然能让人泪流满面，情不是靠煽的。这次重读，依旧是那个熟悉的配方，熟悉的味道，熟悉的感动。这本书才能真正称得上是虐心流。如果一定要鸡蛋里面挑骨头的话，最后苦根的结局写得不及前面诸人“完美”，只能说是“精彩”。最后，这个版本我很讨厌，最后有六七页摘录大量外媒对这本书的赞誉，这有多不自信才来搞这个附录！","力荐"
"41","人的最基本愿望就是“活着”（survive）其次才是“生活”（live）","推荐"
"42","“伟大”这个词在这本书面前也显得渺小。","力荐"
"43","在寒冷冬天烧得暖烘烘的大巴车内读完，抬眼是多伦多高耸的楼群。历史沧桑而历史中的人可爱又可恨。后来姥姥给我讲她的少年时期：当地显赫的地主家庭，在农历八月十五仓皇地撇下家产逃走，姥姥的妈妈在逃亡的最后一晚还心惊胆战地在田地里收割。后来成绩优秀的姥姥报考初中，却因为家庭背景而无法继续读书。又说到十年文化灾难，姥姥说，你根本想象不到那时候死了多少人。","力荐"
"44","无法评说，难受",""
"45","传闻说“原著比电影惨” 指的大概是死的人更多吧 总归还是读了 电影结尾保留了一份充满未来的美好 原著的美好 只在于福贵往后的人生可以无所畏惧 毕竟还有什么能够比“等死”还轻松呢？上一次读书掉泪还是《我们三》 读《活着》简直哭的无法继续…","力荐"
"46","这是一部残酷的人生史和中国近代史","推荐"
"47","看完后竟在心中产生了要好好活着看世界的想法。","力荐"
"48","近代农民的苦难集","力荐"
"49","不觉得极端，只不过国人的悲苦现在以另外一种方式持续着","推荐"
"50","一本好书就是看的过程中不断想，我为什么才开始看。太多想流泪的地方，到最后有一些伤感，有一些庆幸，也有一些平静。电影是断然不敢看的，觉得该是从头哭到尾吧。其实很喜欢序里的一句话：作家的使命不是发泄，不是控诉或者揭露。他应该向人们展示高尚。这里所说的高尚不是那种单纯的美好，而是对一切事物理解之后的超然，对善与恶一视同仁，用同情的目光看待世界，以及，他是那种能够看到自己过去模样的人，他可以准确地看到自己年轻时走路的姿态，甚至可以看到自己是如何衰老的","力荐"
"51","某些悲剧太刻意了","推荐"
"52","再悲天悯人的情怀，也经不住接连不断地展示苦难。看多了之后觉得更像是一种引发共情的写作技巧。书写苦难毕竟不是目的，抛开故事背景的话，有种看台湾苦情戏之感。尤其是看了作者的系列之后。","还行"
"53","真实自有万钧之力~这是一本让人看完会无言沉默良久的书，看到165页家珍死的时候自个儿在马路边就hold不住眼泪了，风一吹还挺凉的，你说这是一个悲剧吧，其实也不是，说是命运的诅咒吧，其实也没那么绝望，应该说是属于一段时代和历史的正剧，人间正剧是沧桑。。。余华没有刻意去渲染悲喜情绪，不动声色的讲述反而很有代入感","力荐"
"54","从旁观者来看，富贵太惨了，埋了爹，两个儿女，老婆，女婿，外孙，娘死时也没见着一面。但是富贵老婆死时却说：我也知足了，下辈子还嫁你。想来富贵也是有不少幸福的，只是被我们忽视了","力荐"
"55","好书是什么？一口气不带喘的读完，就是。","力荐"
"56","广州飞曼谷的飞机上读完的，福贵啊福贵多么讽刺一名字。","推荐"
"57","活着和生存确实是两种概念。之前看到一篇议论文，谈中国人习惯性的丢脸，在文革时期更是丢惯了脸，有些人不堪忍受而自杀，有些人活下来，末了用的词，苟活。我却觉得看了不舒服，读了《活着》之后更看这观点不顺眼。环境坏了，非得鱼死网破用命来拼？夸耀为改变而死的人固然好，何必贬低那些无从选择的弱小存在？这种评判他人的价值观念明显出了问题。用死来成全，和所谓苟活来比，我不知道哪一种更懦弱。但我却从这个无用的苦难的农民身上，看到了所谓苟活背后的民族的乐观和血性。他们嚼下苦草，还能笑——这不是贱，不仅仅是生存，而是极不容易的“活着”。","推荐"
"58","这是什么天煞孤星的命？？","推荐"
"59","从上世纪中国变迁镜像的方面，反射出的范围很狭窄（宥于主人公是一个无知的农民，世界自然非黑即白）当然那些各种外语译本的读者看了之后自然以为自己已经借着一个农民之眼透彻地了解中国了。一开篇就抱着赚眼泪的目的使着赚眼泪的路数实在没法不反感。压迫不止，何碍？只要生命犹存。若非我误解，简直是倒退性的思想。依然欣赏余华极有掌控力而洗练的文字。","还行"
"60","阅读余华的第一个长篇《活着》。必须说，不是喜欢。","还行"
"61","太惨了，我有点接受不了","推荐"
"62","这本书应该叫活着的都去死。","推荐"
"63","“沉浮如光，唯有夕阳斜“","力荐"
"64","比电影版好看，这一家人是幸福的","力荐"
"65","今年读得最快的一本书。这本书里有这样一句话我回味了很久，仍然很有意思：“人是为活着本身而活着的，而不是为了活着之外的任何事物所活着。”","力荐"
"66","作者的文学素养不必多说，只是写作形式今天看来属于“中学生必读书籍之一”的范畴样式。看完以后，脑子里只有一个画面，夕阳西下黄昏时刻，一间小茅屋被群山围绕，远处的田地里若隐若现的有几只牛羊甩着尾巴吃着青草，时不时还有几只小鸟叽叽喳喳的飞过，人却不见一个。还是《兄弟》贴合现在这个疯狂的世界。","还行"
"67","新版，复习了一下，居然还是差一点掉下泪来……",""
"68","不断怀疑自己是不是错买了盗版，盛名之下却是这样平淡。也许符合了外国人的期望吧。","还行"
"69","尼采抱着马哭，福贵把快死的老牛从屠夫手里买下来。一个存在主义的点睛之笔。","力荐"
"70","一气呵成。","力荐"
"71","余华还能写出这样的书吗","力荐"
"72","从前我看不起小说，觉得读小说无用，现在看来，有的小说反而能比其他文学作品更加深沉且有力量。","力荐"
"73","“写人对苦难的承受能力，对世界的乐观态度...人是为活着本身而活着...”相比之下，我更喜欢《许三观》 读上去更为畅快 有风格","推荐"
"74","一晚看完，一气呵成。之前看过电影，电影也拍得好，各有各的长处。","力荐"
"75","作者把每一次动荡的后遗症像切蛋糕一样分派到人，福贵既是记叙的符号，又是意志的符号，当整篇文章快要以戏剧化的麻木惯性收尾，突然寥寥几笔黄昏到黑夜。我是见过农村的黄昏与黑夜的，西晒只剩下霞光作势，暑气渐去，田垄间的穗子和渠水和竹叶一样的摆动，还有身后的炊烟，一时间四处俱是轻微的沙沙细响，身和心却超脱般地静止了，然后就进入了黑夜。农村的黑夜并不让人恐慌，仿佛万事万物都被土地的湿气裹挟了，赐人几分熏熏然的忘性，在这样厚重的黑色里，苦乐悲喜都隐绰不明，伸出手去，像拥有一切，时间与空间，过去与现在，回忆与希冀。","推荐"
"76","一个人的一生，一个国家的几十年。主人公的一生都在经历着国家的变革，一个人便是国家的缩影","力荐"
"77","想起我小时候大马路上的那条标语——发展才是硬道理。","推荐"
"78","一个悲剧接着一个悲剧 连在了一起就是一部史诗 ","力荐"
"79","后天要讲课 标一下以示诚意","力荐"
"80","活着是全人类的共同存在状态","力荐"
"81","人生在世，有些许阿Q精神也是好的，最起码在无法阻止的悲剧发生时，在最强烈的悲痛袭击时，能安慰自己，这一切都会过去，只要活着，生活就会更好，能让我们感觉到，也许生活并不是这么苦痛。",""
"82","我始终认为，《活着》应该写得更节制一些。人死得越多，死亡便越失却了力量。","推荐"
"83","四个版本的活着我都读过。高三第一次读（红本），大一又读（苗老师借旧本），大三再读（黑本），大四再读（蓝本）。每一次都是一个故事。几个版本都送人过。","力荐"
"84","世道不是好世道，人民却是好人民，走过封建、战乱、灾荒、大跃进、文化大革命...福贵与自己的亲人、旧故不断地死别着，每天只要活着就如牛一样早起贪黑的劳作，嘴上不懂得说些好听的，行动上却珍惜着与身边人的每寸时光。余华不多用一个字，不煽任何的情，但是让人感受到了生活的厚重，那里包含了太多的身不由己、残酷与痛苦。看这本书我是从头哭到尾的，因为在虚构的故事里看见了许许多多普通人最最真实的人生。","力荐"
"85","小说如同作者对威廉福克纳的评价——“将现实放到了历史和人文精神之中”。历史洪流中的个体如同草芥。活着，就是个体对历史最卑微的回应。","力荐"
"86","合上书，心塞。","推荐"
"87","一边带娃，一边刷kindle，看过电影，知道人生的艰难","推荐"
"88","人是为活着本身而活着的，而不是为了活着之外的任何事物所活着。生活是属于每个人自己的感受，不属于任何别人的看法。","推荐"
"89","书叫活着，写的都是死亡","力荐"
"90","哭晕过去了","力荐"
"91","买来很久却一直不敢拆封，因为对悲剧有点抵抗。可是好的故事一开头就让人不忍停止。头尾呼应，开头就埋伏笔。一口气看完，越来越绝望，可是也越来越接受现实，这可能也是福贵的心路历程。从卖女儿那段就狂哭，哭到结尾。很沉重的小说，更沉重的是历史。","力荐"
"92","下午看不下去书翻完了，太多的画面涌来，可能被媒体过度解读了，倒是感触不大~~~~",""
"93","最爱的中国小说","力荐"
"94","写的好，故事也很好看，但也很适用前几天看到的对某电影的评论：描述苦难。这个故事也是，除了描述苦难别的它什么也没有多说了。","推荐"
"95","生活意志的胜利，感人而不伤感。冷漠的口吻叙述了中国动荡而多变的时代和富贵侥幸又苦难的人生，通过周围人一个个死去，彰显了底层小人物各自难逃的命运。最后富贵与牛的故事，作者以一贯平淡地文笔，描述主人公平凡地活着，竟能催人泪下。","力荐"
"96","没第一次读惊艳，但还是比第七天强百倍，看到家珍的段落还是哭了两次。可以看得到些许想象贫乏的迹象，只是后来变本加厉了。","推荐"
"97","与老谋子电影的差异：1. 有庆是给春生夫人献血死的，而不是被撞死。2. 女婿的残疾位置有差异。3. 女婿和外孙的死被电影省略掉了。","力荐"
"98","國人就是一直在這样的荒诞感中survive，周而复始... 直到death倏忽而至...","推荐"
"99","评论的语言是苍白的。活着，却仅仅是为了活着，命若游丝力坠千斤而不断，但这是福贵一个人的活着，其他人像蒲公英，被风一吹，就散了。最同情的是有庆，多可爱的孩子。","力荐"
"100","一天看完的，掉了三次眼泪。活着，两个字，一个故事。是命太硬吧，身边的人一个个都没了。最后一个人，也要活着，活下去。看了心里很梗，头痛了一天，看完了，该睡了，每一天都好好活着。","力荐"
"101","序吹大了。","较差"
"102","名为“活着”，实则“死去”，这部作品太绝望。很久没读到这么好的故事了。","力荐"
"103","富贵真是个克星阿！","推荐"
"104","先看的电影。小说的语言原来这么朴实，大起大落的故事都很平淡地道出来，却让人不免动容。","推荐"
"105","冷静朴素，但我并不太喜欢。讲述的方式以及篇幅局限，总觉得有堆砌感。","还行"
"106","苦得让人怀疑人生。刚开始读会觉得福贵的遭遇都是自作孽，到后来会觉得该尝的苦也尝了，命运该优渥于他，可终究好景不长。有庆可怜，凤霞命苦，二喜无辜，命运倘若都是这样，何谈感恩上苍有好生之德啊。余华冷静无情的叙述也扮演了残忍的角色。","力荐"
"107","很有意思。深度都在自序、愤怒而迷茫，但正文开阔如海洋。会让人想到莫言的《红高粱》、王小妮《1966年》乃至黄树民《林村的故事》——可是细想来却又什么都没有。","推荐"
"108","在时代的洪流里，每个人都微不足道却又参与历史，每个人都不敢死去，又害怕活着","力荐"
"109","读起来一气呵成，很压抑，却没有落泪。因为之前早就看过电影，很多情节读到就会有印象。像日文版序里所写，在我们看来是幸存，在那个时代背景下的福贵，就是生存。印象最深的一句话是家珍说的，春生啊，你要活活着。","推荐"
"110","当你的生活很艰难，能活下去也是一种勇敢，只希望我们都能开心快乐的生活下去","推荐"
"111","余华的文笔将人物情节贯穿的十分紧密而流畅，写实主义就是以最质朴的语言去表现，没有什么深刻华丽的辞藻，字里行间却引人入胜。主人公风景福贵的活着生不如死，但是却要为自己而坚强的活下去。","还行"
"112","以平静的语调叙述着无比残忍的命运，从有庆的悲剧开始，心中憋着一口不平之气飞快的往下看，当读完书的最后一句话时，突然的就哭了。",""
"113","少年去遊蕩，中年想掘藏，老年做和尚。","力荐"
"114","当手段成为了目的","力荐"
"115","好哀伤","力荐"
"116","原本我觉得它不够深刻，但是它展现了人类最真实淳朴的情感，所以，这是一本值得去读的书。","推荐"
"117","存在即本质？小说笔力矫健，读起来确实动人，但把人降格为动物的中国特色实用主义忍耐哲学实在接受无力。只要活着就好？余华长篇小说分水岭。高于《活着》的：《在细雨中呼喊》《许三观卖血记》，都是华语文学美丽的收获。低于《活着》的，就不点名了。","推荐"
"118","人生常常就是你觉得已经惨到不能再惨的时候老天爷还会再来锤你几下。把你锤进泥土里，血液混着泥土变成鲜红的泥浆。","推荐"
"119","时代的车轮碾合着每个人的命运，那只看不见的手才最可怕。玩弄股掌之间，再被随意丢弃。万物皆是蝼蚁，哪里有什么低贱高贵区别。只一样有光，便是万事随风，信念常驻心底。","力荐"
"120","十年前读了一次，十年后又读了一遍，这一次读的不是书里的故事了，这一次读的是作家了，余华骨子里是个小孩子，天真调皮捣蛋又坏，他自己足够有趣，小说才丰富丰盈，层次分明。","力荐"
"121","活着不容易","力荐"
"122","电影没拍的，是书里写的精彩的地方。",""
"123","真实","推荐"
"124","总的来说，我并不是很喜欢这个故事。读到最后，忽然意识到，作家其实某种程度上是放弃了一个明确的立场，采取平视的眼光去看待人性和历史，与读者的距离倒是拉近了，但无疑也因此丧失了深度。","还行"
"125","活着绝不是苦难的叠加。若说福贵是一代人，那为什么不写成纪实呢。一场场死是触目惊心的，也是麻木的。余华是写得极好，不否认，只是福贵的生命过程让我觉得:这不够真实。","还行"
"126","生命和柔软","推荐"
"127","一个人悲惨的一生，旁人一口气读完。他只是中国前60年的一个缩影。人只为活着的本身而活着，如果真是如此，作者应该也写不出这样的作品了吧！","力荐"
"128","活着就是这样，悲情中夹杂着温馨、希望，最后我们都败给生活败给命运，可是却又坚强又麻木地带着往日回忆活着，偶尔回忆过去，仿佛看别人故事一般，不知道到底命运是胜者，还是我们是胜者。。","推荐"
"129","还行，小说就是 背丧倒霉死，硬用悲剧让你哭，写的还不错 比作者其他小说强不少","推荐"
"130","活着从来就不是一件容易的事儿。","力荐"
"131","读起来顺畅，每一个情节都很紧凑，写的是人性的顽强。但是越到后面感觉虚构感越强，老出戏。后面苦难就没有给它的突然出现做任何解释，而只是借用了时代的苦难。虽然文章苦难是主角，但是前面的处理显然要更细致一些，后面有些大敞大开的感觉了。","推荐"
"132","97-142，151-184后半部不如前面精采","还行"
"133","主人公一定是颗天煞孤星，克死全家....","推荐"
"134","一个一个地死去了，最后有点为了死而死的感觉。老富贵孑然一身却把一切都看开了，感觉反而不那么苦了。","推荐"
"135","节奏好快，人一下子全死光，看到最后对死人麻木。。","推荐"
"136","二刷。第一次看的时候周围的人说好看也跟着说好看，这次重新看，又觉得其实挺一般的。活着不就是为了寻找人生意义吗？如果只是为了活着而活着，那不就跟行尸走肉一样了。而且福贵这个人设的转变实在太过突兀，原来还是个纨绔子弟，父母妻子女儿从来没有关心过，把宅子赌没了就一下子洗心革面会疼惜家人了？几个小时前还对妻子拳打脚踢的人，说服力实在弱（说起来家暴男真恶心，看看他女婿二喜，哪里跟他一样了)。然后估计跟当时时代社会背景有点关系，“凤霞命苦，这辈子是要苦到底了。有庆可不能苦一辈子，要让他念书。总不能让两个孩子都被苦捆住”“我呢，也不急，是我的儿子总是要开口叫我的”“你给我、给你娘你姐姐争了口气，我很高兴”，这种话都让我看得非常不舒服。","还行"
"137","余华是一个幸运的作家","力荐"
"138","是本好书，可惜在剧情展开上有些伤（我指的是富贵成为农民那段，感觉跳跃比较大，为什么没有再深入描写其一家农民生活？不知道啊。总觉得富贵不可能如此迅速的成为农民）",""
"139","6分优点打动我的是对中国农民心理描写故事年代选取的耐嚼使用福贵的转述来开始故事。主人公却置之事外缺点不是魔幻主义作品对有庆过度刻奇的死法让人难以接受人物悲剧的安排刻意到失去感染力","还行"
"140","看到有庆的死差点哭了，后面有些麻木，每死一个人物，苦难叙事的力度就衰竭一次。残酷的真实写照，生活是属于每个人自己的感受，不属于任何别人的看法。","推荐"
"141","《活着》是一口气看完的。对比同期在看的《海风中失落的血色馈赠》，是真真切切地体会到了乡土的力量。我可能看不透西方乡土甜蜜的忧郁，但绝不会对《活着》里充满土腥气的苦难毫无痛觉。“我知道福贵的一生窄如手掌，可是我不知道是否也宽若大地？”","力荐"
"142","迟钝到今年下乡才断续看完，先码个死亡时间线吧：我爹(30，从粪缸上掉下来)、几千伤员全死了(58)、老全(59)、我娘(65，死前一遍遍对家珍说，福贵不会是去赌钱的)、龙二(66，枪毙)、有庆(120，为救县长女人抽血事故)、春生(157，刘县长上吊死了)、凤霞(162，产后大出血)、家珍(165，凤霞死后不到三个月也死了，死得很好，死得平平安安、干干净净，死后一点是非都没留下)、二喜(171，被两排水泥板夹死的)、苦根(180，吃豆子撑死的)","推荐"
"143","两个老不死","力荐"
"144","笔触精准又稳，像一把尖刀刺入人心脏最脆弱的地方。把死亡描写的轻又干净利落不留余地，读到每个逝去的人的段落都让我难过得不行，好像自己亲身经历了那样的痛苦。然而他又不过分去描述，只把死亡写得很淡然，这才让人更加绝望。","力荐"
"145","新版收藏。。","推荐"
"146","好呢","推荐"
"147","两个小时就能读完，福贵这样的人，在我生活过的村子里比比皆是","推荐"
"148","最过艰难便是活着。然而人生便是无论如何都要活着。","力荐"
"149","高中的时候看的 ","力荐"
"150","三星给作者的笔力，电影比原本更出色，既是因为有表演，也是有对于结局的改编，至少让人感到有温暖。一条短评这样说:“谁说中国人没有信仰？中国人的信仰就是两个字，活着。”我并不会对“好死不如赖活着” 这种观念有好感，它把人生定义为一种最低水平的维持，毫无疑问会把人与动物等量齐观，这种对于活着的执着，其结果并不是对生活与生命的理直气壮的肯定，而是相反。人类生活之所以可贵，不是因为“活“本身，而是那些建基于生命之上的一切。单纯肯定活，看不到其他，就会让受传统差序亲疏观念影响的人缺乏共情心地认为那些与自己没有直接血缘关系的陌生生命就像虫豕一样命贱，这种毫无尊严的生命观让我非常不适，因为每种文明自然都会以各种方式来肯定生命，但像一个窝囊废一样说这句话让我感到他们不是在肯定生之内容，而只是在碎碎念一种形式。","还行"
"151","好久以前看的，印象很深","力荐"
"152","老来去游荡。","力荐"
"153","一辈子最爱的书之一。","力荐"
"154","活着，活着。","推荐"
"155","“没有什么比时间更具有说服力了，因为时间无需通知我们就可以改变一切。”“最初我们来到这个世界，是因为不得不来；最终我们离开这个世界，是因为不得不走。”“以笑的方式哭，在死亡的伴随下活着。”“作为一个词语，“ 活着”在我们中国的语言里充满了力量，它的力量不是来自于喊叫，也不是来自于进攻，而是忍受，去忍受生命赋予我们的责任，去忍受现实给予我们的幸福和苦难、无聊和平庸。”——《活着》","力荐"
"156","以小人物的视角描述40~70年代中国社会的沉浮，节奏把握极好，语言叙述平实而饱含情感，直击人心","力荐"
"157","富贵一生的悲喜凝练成一本小书，这叙述的笔调悲悯而沉重，却又随着时间匆匆划过。来不及悲伤，来不及欢乐，所有繁杂得情绪最后都被漫长而磨难的人生稀释成了平淡。人在活着，活在历史中，作为人而活着。年轻的我不敢去多想，憧憬未来还是祈祷明天。我只想好好活着，好好活着。","力荐"
"158","张艺谋的改编还是比较高明的。对小说明显的新印象：不同人在不同政治阶段的命运转折组成的悲剧。但是先锋性明显让位于平淡亲和的叙事。甚至于，这部小说如果去掉苦难，就是一篇优美的回忆录。",""
"159","我很喜欢那个年代的作家和作品，现如今为了钱，啥都不顾了","力荐"
"160","很沉重","力荐"
"161","人是为活着本身而活着，而不是为了活着之外的任何事物所活着。如果你的世界，没有痛苦的害怕，没有尊严的担忧，没有富贵的贫贱，没有暖寒的交替，没有外貌的困扰，没有男女的区别，没有你我之分，没有生死顾虑，你才会离＂真正的活着＂越来越近。","力荐"
"162","看完都不知道什么感觉了，大概也和主人公一样麻木了，但是还是发自心底的难受","力荐"
"163","人生最大的希望便是活着，然而活着有时候也不过如此。不奢望，不气馁，不期待，淡望人生，宁静致远。","推荐"
"164","余华的书读起来蛮舒服的，暖暖的","推荐"
"165","刻意堆彻的悲剧","还行"
"166","福贵破产前后的生活总让我感觉这仿佛不是同一个人，破产后的他生活得好平静，感觉距离每个人都好近。看到有庆死时，我惊呆了原来真的会有人输血过多而死吗。凤霞死时仿佛我是有预感的，接二连三地死亡已经让我看淡很多。想到外婆说过，她年轻时有过四个儿子，可没有一个活下来的。那时候的生存真的很难，活着并不容易。","力荐"
"167","没有比活着更艰难可怕的事情。","力荐"
"168","看到福贵救下老牛的时候落下泪来。自己的人生这么苦，却不心怀怨恨，还保持着对这个世界的温柔，至少这对我来说不是一件容易的事。","推荐"
"169","我知道黄昏正在转瞬即逝，黑夜从天而降了。我看到广阔的土地袒露着结实的胸膛，那是召唤的姿态，就像女人召唤着她们的儿女，土地召唤着黑夜降临。","力荐"
"170","活着","力荐"
"171","抱歉，这种题材我实在不感兴趣。","较差"
