用户名,评分,推荐,内容,评论时间
悠,,9-,快速看完的一本书。简单记几点。※不必过多相信天赋，还是要相信人的潜力无限※一万小时定律这个说法不够全面，应该是“有效练习时间”※也就是小时候听见大人常说的那句“你给我用心做、好好做，不要弄表面功夫敷衍我”，这个道理仍然是适用的※但是父母没告诉你，如何是“用心”？书中用了“创建心理表征”的概念来解释“用心”，以及何为“好好做”？即做完了，看自己做得如何，错在哪里，是否能改正，下次还会不会错。我个人倒是觉得如果一个人在早期就有良好的学习习惯，再搭配一些高效的学习方法，做事情都事半功倍，但大部分人好像更愿意欺骗自己，自认为“管理好了时间，便是管理好了事情”。,2018-09-19
呆梨羊,3,还行,刻意练习精髓就是适度难度，重复，反馈和改进。另外就是在瓶颈时尝试不同路径,2016-11-14
eisbrecher,4,推荐,"耐心地、谦虚地保持大时间周期的刻意练习。你训练，是为了有目的有针对性的当一名…
由森林而视树木。
最杰出的人是那些在各种有目的的练习中花了最多时间的人。
刻意练习
1.训练的方案，有效的指导
2.舒适区外
3.完全的关注和有意识的行动
4.反馈，为应对反馈进行调整的努力
5.有效心里表征
6.有针对的提高
通过导师，在更高层面上学习基本技能。",2016-11-27
药山,5,力荐,刻意练习的方法论一目了然，序言特别值得一读,2017-01-14
恰妮斯虫,3,还行,同志们，要相信自己是个可塑之才啊！你要努力，你要奋斗，你不能假模假式学上一万小时就以为自己能超越前人。要掌握方法，要找准学习对象，要远离舒适区，你不信的话我就给你举例子。☜大概通篇就是说了这么个意思吧，是在大量实验的基础上总结出的理论，但非常非常啰嗦。,2017-12-30
X,5,力荐,学习一项技能，在经过一段时间后初步的熟悉，会产生了一种自动化的能力，但是不刻意练习的话，这种能力会缓慢退化；刻意练习专注反馈，多角度思考；基因的差异可能给你一点先发优势，但是长远来看占上风的是更勤奋的人；过度迷信天分，会陷入一种预言自我实现，要相信自己的潜力，努力去实现这种潜力。,2017-06-17
[已注销],5,力荐,1可以训练出潜能，大脑也可以重新被塑造2有效训练，低效的练习不是刻意练习，有目的的训练3跳出舒适期4刻意练习，心理表征，明确目标，行业标准，成功者的经验,2017-03-10
Mignon,3,还行,非常啰嗦，直接读评论里的总结就够了,2017-04-30
这么远那么近,4,推荐,练习主要还是方法论的问题，刻意练习一要有针对性，二是避免重复，更不能只顾埋头苦干，不然可就真的只成感动自己了。,2018-04-20
stina525,3,还行,讲真，所有的内容第一章就全部说完了。后面就换着角度的重复……,2017-01-14
北落师门,3,还行,有些有用的信息，但过于冗长，重复太多，版税按字数收么？,2016-12-17
林雨飞,4,推荐,看完之后觉得最需要的就是找到一个好老师了。,2017-04-04
林久久,3,还行,一句话概括就是：设定明确目标（最好量化）的练习才有价值，区别于无意义的重复。道理没毛病，减星因为话多,2018-07-24
Taubau,4,推荐,书中写了很多故事，翻之前还在好奇为什么这本书的上架指导会是『成功励志』。读完了发现，真的就是破除你心中各种对自己的不信任；而比较有效的建议就是：抛弃天真性的练习，而要做有针对性的练习。因此，你需要找到一个目标（真正的大师），找出你自己和他得差距，针对不同的方面进行针对性的练习，同时你需要一个导师告诉你哪里做的不对，并加以改进；这时你可能会感觉非常枯燥，因此你需要保持动机，它可能来自你自身的兴趣也可能来自外部环境，以此来保证你的训练时间。当然不是所有人都完全具备以上这些条件，这时候，你就需要最大限度地利用各种条件实践这些原则:),2017-02-09
苏诗丁_Jun,,3-,所谓天才，就是可以在枯燥中寻找乐趣和成就感，智力的差别并不是成为英雄的决定因素，去做就好了，过程中寻找正确的方式，并且没有捷径。,2018-03-06
胖达叔,3,还行,为讲座而去看了这本书，感觉还不错。此书对《异类》中的一万小时天才理论提出修正。但是总体思想仍然是：智商在入门阶段会产生巨大影响，但是一旦进入较高级阶段之后，刻意（有向导有意识）练习将会产生更大的影响，直到继续增加练习也不能明显提高效果为止。例子包括语言、音乐、舞蹈、体育等各个方面。,2017-04-24
韧勉,5,力荐,说所有的天才都切分成元素，从而不能算天才那段最为怯魅。,2018-12-23
空台,5,力荐,［2018036］5小时45分。2018年度刷新我认知的第四本好书。没有比较就没有伤害，格拉德威尔《异类》一万小时理论更多用一个整数迎合了读者，严重缺乏理论和研究基础。而《刻意练习》是心理学教授的著作，依赖于大量科学、心理学及神经学案例及研究理论作为基础，极具说服力，而且针对刻意练习提出了行之有效的实操路径，可谓实至名归。相形之下，前者名不副实，徒有皮囊，最多只能给2星。书中强调有目的的练习，重在创建“心理表征”，走出舒适区而后专注地长时练习，同时用反馈检测自己的进步程度。整个过程需要用“系统论”的方法不断微调改进，从而取得最佳训练效果。这样的书读后只有心悦诚服，后面还需再三细读研究。,2018-10-06
佩吉,5,力荐,印证了我自己一直考虑的一点，就是说，其实很多事情经过练习，都可以成为这个领域的大师，所谓刻意练习，其实就是全神贯注，思考和学习并进的结果。确信了这一点，我也相信自己会成为一个吉他师和手鼓演奏者。,2018-05-22
卡尔,5,力荐,“专注”地“投入大量的时间”，“逃离舒适区而在学习区”练习，建立“反馈”，积极“修正”，从知识到达“技能”。条件允许的话找个“导师”、“教练”。,2018-01-02
郫县豆瓣,4,推荐,目的：建立心理表征，思考新手与大师的心理表征不一样的地方在哪，学会以大师思维方式思考。方法：逃离舒适区，进行有目的有难度的练习，获得反馈， 不断纠正调整，然后继续练习。只要不断坚持，此方法运用得当可以掌握大量技能。“天才”无非是运气好加刻苦练习得当。  方法论很好，就是真的太啰嗦了！一个论证要说很多例子，可以略过。,2018-06-10
楚彤,5,力荐,每一次读想法都不太一样，今年陆续读完，也把方法引入到了网球和乐器学习中，更多地也去把练习方法引入到教学，以帮助学生思考和建立心理表征。最后的附录部分可以挨个细看。,2018-01-03
五号航星,4,推荐,笨鸟可以先飞，我们可以用刻意练习的方法来创造自己的潜能。,2017-12-11
岱❤,2,较差,内容简介的第一句话：4岁就会弹奏小提琴……小提琴是用弹的么？←从简介就能看的出翻译和编辑都不太负责任，适合半小时翻一遍的书。,2017-02-01
格列柯南,3,还行,作者用一本书讲了两句话，就是有目的的练习加上心理复述,2016-12-11
芒来小姐,3,还行,有点啰嗦的工具书，干货内容可以压缩成小文章,2017-06-06
小菌子,5,力荐,感觉以后育儿用得上（only if。。。）,2017-01-08
[已注销],3,还行,在交界区痛苦成长，加上实时反馈。我似乎就是这样过了雅思,2016-11-07
不安的树,5,力荐,科学家写的大众图书，逻辑上没有硬伤，所提供的方法切实可行，对于我们大部分工作和学习实践都是有指导意义的。,2018-04-02
vigor绵绵,,1-,"好老师真的特别重要。
",2018-01-07
李厂长🉑,4,推荐,真鸟长的一本书，但是还是挺值得看一看的，不停的练习，大量操作不等于走出舒适区，话说我app是不是出问题了，看完了一本才花了三十分钟，我感觉看了俩小时啊~,2018-02-15
橙子爷爷,4,推荐,有目的的练习，通过练习构建心理表征，运用刻意练习，你便掌握了技能。仅仅知道某种知识并不能构成技能。并没有所谓天赋更高的这样一种东西，只有勤奋刻意练习成就杰出这种东西。,2017-09-26
Shine,4,推荐,讲了很多例子去辅以解说论点，但是有点啰嗦。,2017-06-04
否定君,3,还行,implicit modeling,2016-11-02
头撞墙,3,还行,及时反馈+心理表征,2016-12-14
林小檬,5,力荐,看了两遍，应该还会看几遍。有理论有方法，各个年龄层各个领域都能用得上。,2017-06-04
粥一,,1-,听读 ,2017-01-16
shininglove,3,还行,不能过分高估基因天赋，但也不能低估机会、动机和努力的价值，在情境中学习，激活长时记忆，当一名认知学徒，提高复杂化的思维能力，充分理解客观世界，利用身体与大脑的适应能力，咬牙逼一逼自己，若想成为专业技能化人才，必须走出舒适区，不单靠“1万小时理论”打鸡血。,2019-02-01
虾爷Marvin,3,还行,"几句话可以讲明白的东西硬凑成了一本书。简单概括就是：学习时逐步离开舒适区，Focus, Feedback and Fix。",2016-12-24
[已注销],3,还行,3.5,2016-11-22
秋葵子,3,还行,举例也太多了,2017-03-19
ʕ·͡ˑ·ཻʔ,4,推荐,#论天才是如何炼成的#杰出的人不是因为他们是天才而是他们在某项技能上投入刻意练习的时间最长，刻意练习3F原则「focus专注」；「feedback反馈」；「fix it 矫正」普通人通过长期不断的刻意练习也可以成为某一方面的高手。,2018-05-27
栋栋栋栋锵,4,推荐,其实也都是些老生常谈的东西，练习，反馈，专注，坚持 and so on……,2017-03-17
cys.tony,4,推荐,每个人从出生到现在所掌握的技能都来自练习，简单如拿起一只水杯，也是经过幼儿时期无数次的练习才熟练掌握的。只不过后来大家不太愿意继续练习了。,2017-12-04
传奇☂,5,力荐,2018-4-9 师傅说：成功＝一半的忍耐+一半的等待。推荐这本书给我看。,2020-01-29
tzungtzu,3,还行,《万万没想到》里面的同一个内容，掰开揉碎来讲，用了大量的实验事例。,2016-11-11
瓒,3,还行,调试那几天读完的 看了这么多方法论 最重要还是实践,2016-12-31
资深梦游,4,推荐,因为自己一直在学乐器，又在做创意和文案方面的培训，很多关于刻意练习的道理早就有所体会，读完这本书就更清晰了,2018-02-24
Moon,5,力荐,"对“一万小时理论”的修正性以及科学性阐释，给出了一套刻意练习的框架：目标、专注、反馈、舒适区。读完此书有如下三大启发：
    其一了解掌握正确“心理表征”重要性，这里“心理表征”可以理解为正确的心智模式或掌握门道，每个领域都有独特“心理表征”，唯有掌握正确“心理表征”再辅以刻意练习才有可能不断精进，成为高手；
    其二是了解练习正确方式，练习并非重复操练累积时间，而是有方法、有目标、有决心、有反馈且坚持不懈的挑战自己，走出舒适区，这才是所谓刻意练习，才能有所成效；
    其三是破除了关于天才的迷思，人的大脑、心理乃至身体都有很强可塑性，天赋对于成就卓越远不如刻意练习来的有效，这部分作者旁征博引，让人信服。",2017-03-28
非虚构,3,还行,"有噱头的成功学推销，方法论1.脱离学习舒适区，抛弃已掌握知识直接攻克高级阶段。2.刻意进行难度训练，练习自己一直恐惧且逃避的学习内容。3.不断的专注的重复重复重复。4.获得反馈，将学到的理论用于实践。通篇证明这个世界没有天才,无非是出于其他目的～",2017-01-11
不足为外人道也,3,还行,本书真正重要的内容还写不满一页A4纸,2017-01-17
宇宙佛系渣渣蓝,3,还行,没什么新东西啊。而且其实这一论调相关书籍都简化了一个重要问题：“努力”远不是一种“只要就”的普世能力——这也太小看“坚持”的份量了。这属于混淆“相关关系”和“因果关系”。在这一点上就比较成功学了。还是应该多读神经科学。,2017-01-11
十鳗,3,还行,第一次买这种学习理论的书，总的来看还是一本很水的书，但是其中还是有少许精华存在。最有用的一点就是如何克服无法坚持一件事，不仅仅可以通过给自己暗示，同时也可以通过降低放弃的成本来使自己更方便地达到目标。另外这本书对“一万小时理论”作出了批评，感觉这一点有助于大家更好地认识自己。,2016-12-28
好吃不如饺子,3,还行,“天才”并不存在，杰出能力是大量的练习与培训的结果。,2016-12-09
Blueberryfield,3,还行,可以浓缩成10页纸，再浓缩一下可以仅剩题目。因此，格外赞作者提及写作时也可用“心灵表征”的方法构建框架（用Mind Palace更帅）。不断督促自己走出舒适区，要降低阻碍、提高行动力，特别是要专注于目标或划分的小目标（比如赚一个亿）,2017-01-19
十甫寸草民,3,还行,概念很好，但好像用一篇论文就能讲清楚 :D,2017-01-02
ella沈炎炎,3,还行,“3F”学习法：focus（专注），feedback（反馈），fix it（纠正）。最佳的学习方法不是单打独斗，而是在情境中学习：1.加入共同的学习团体；2.找到模仿的榜样；3.边学习边用于实践；4.将大目标分解成一个个小目标，每达成一个小目标给自己奖励。 #9B/2017#,2017-01-24
话唠丸子,3,还行,本书的内容用几句话就可以概括，为毛要反反复复写那么多浪费纸张？不过还是很受启发就是了，很多时候努力很重要的，但是努力的方向更重要！,2017-01-14
Lyla,3,还行,例子很丰富，结果到显得有点水了。逻辑还比较清晰，记住了几个关键词：focus、feedback、fix it。以及，创建属于自己的心里表征，集中力量去刻苦练习。,2017-01-04
蓬蓬,5,力荐,梳理方法论,2017-04-22
莫小,,0-,开篇主旨如下：一万小时定理是偷我们的实验成果；一万小时定理是扯鸡巴蛋。后面内容还是举例为主，这类书的鼓动性之源。“心理表征”一词有一定指导意义，却仍难免含糊其辞。概括全书核心，一句话：刻意练习即不断练习，总结错误原因有针对性地再次练习的过程。,2017-10-02
思思李,3,还行,关键词：目标明确，专注投入，及时反馈，不断挑战舒适区，找到行业优秀导师，强化动机，坚持练习。适合每个怀抱梦想的人。,2017-01-06
懋,4,推荐,真相是，从来不存在1万小时定律，它仅仅是畅销书作家对心理科学研究的一次不太严谨的演绎而已，我们需要的是deliberate practice；此外，不同领域的技能习得时间与练习时间并不存在一个1万小时的最低阀值。,2016-12-08
etterding,4,推荐,质疑10000小时定理很久了，终于发现有书清晰地写出10000小时定理的不(pian)足(shu)，不过还是好啰嗦。,2016-12-13
更换呼吸,3,还行,"1.刻意练习方案：有目标，有反馈，持续改进；
2.在不断练习中总结经验(心理表征/心理范畴)，将经验抽象、编码，提升效率；
3.学习的步骤永远是从模仿到创作，再到创造。一个好老师非常重要；
4.练习就是大脑健身。刻意练习会健壮大脑的相应区域(某些地方也可能相对减弱)。
———
总的来说，前半部分总结了练习的方法，后半部分给“天才”祛魅。举的案例很多，不足一谈。",2020-01-24
无无无无无,,1-,第三本。  导师   focus  feedback  fix it,2016-11-26
昨夜风很大,2,较差,这类型的书看目录，快去浏览。作者的刻意练习既是，有目的性的持续性的正确的大量练习,2018-09-17
异乡异客,5,力荐,很多父母都在寻找孩子的天赋，也有很多人表示自己天生不擅长某个领域。而1万小时定律又让一些人盲目的刻苦练习。到底普通人、优秀的人、杰出的人有什么不同，两位作者好奇的做了多年的研究，总结出了一些规律。当然，这本书和所有西方作者一样，通过大量的试验、个案来阐述证明他那并不复杂的结论，但并不会让人感到这是一种“注水”，只有你通过作者举证的这些案例，才能更好的理解他的结论，非常值得读的一本书，五星了。,2016-12-02
女兒國宰相X,,5-,说了很多例子，实操的方法基本没谈。不需要那么多案例，典型的机场书写法，但是内容比较正确。真正的提升方法需要自己摸索啦，也挺好的。,2017-05-19
梓霑,2,较差,1，书中并没有什么独特的观点；2，感觉全书都是几个观点反复赘述，以至于很难有耐心读完；3，全书浓缩成一页纸足够了，小标题之外的文字几乎没什么吸引力；4方法论之类的书真是够了。。。,2019-11-19
岚大爷本人。,4,推荐,最大意义在于纠正流行读物中的观点，比如一万小时理论。关键因素是刻意练习＝跳出舒适区。重复和反馈。建立牢固的心理表征。某觉得主要问题还是点略散，本来作为一本商业书必然如此。可用的方法反而不太多，还得靠自己琢磨。,2017-02-04
蛋花酱,4,推荐,不要轻易对自己说不~,2016-11-22
白发空垂,4,推荐,"1、要有自信  2、要有好的导师和即时反馈
3、要有针对弱点练习  4、提高动力
5、稍稍走出舒适圈  6、学的目的是运用
每一条都是老师的老生常谈，但是好处就是重新反复说一遍，印象更深一些。
另外说到alpha go的时候惊讶地发现终极一战竟然是好几年前了，见证历史感。",2019-07-13
粟阿姨,4,推荐,我看完了还是有点不太信。本书意思是你只要刻意练习了，就能至少成为专业人士。但是他举的例子似乎都是象棋大师之类的高素质人才，或者起码也是考上哥大的大学生。我觉得在大众之中起码有相当一部分是智商不高的平庸人群，不清楚这个方法对他们是否有用。,2019-08-12
dotann,2,较差,书里说的道理我同意，可是能用一篇文章说完的事，硬是用奇闻轶事撑出了一本书，有点浪费时间。,2018-06-29
伊藤不二,3,还行,认真学习任何事情1万小时，你就会成为一名出色的流水线工人,2019-03-09
凌阿敲Cooling,5,力荐,觉得这本书啰嗦的人，大概都是无法体会到心理学工作者的良苦用心的。,2019-09-15
biubiubiu～🚁,4,推荐,不否认刻意练习的有效，但有一个问题是，个体形成心理表征的速度和自主性以及进行focus-feedback-fix it这个过程的效果都是有差异的，这种差异我觉得本身就是一种智商的差异吧。,2019-06-01
腰带知道,5,力荐,本书通过大量的案例和实证研究告诉读者：成为“大师”主要靠智商和运气，努力只占很小的一部分。令人动容。,2017-02-03
小波,2,较差,几个简单的概念反复写了一本书，我觉得啰嗦  ,2017-01-06
祀laker,3,还行,新收获:心理表征。,2016-12-02
虞美人,3,还行,用刻意练习来成为杰出人物！没有什么“天才”与“天赋”这种命定的东西！不要对自己设限，其实你可以创造自己的潜力、发展自己的能力！这么励志的话就是看这本书得到的。刻意练习三原则：专注、反馈、改进。你要有目标有动机有分解后的计划，走出舒适区，然后一步步前进，突破滞留期，永无止境地向前去。这本书是纲领性、理论性的，如何操作还需自己琢磨。,2016-12-26
Toska,2,较差,怎么说呢。。。除了心理表征其他的部分都不怎么靠谱,2016-12-14
[已注销],1,很差,再买罗辑思维推荐的书我是傻逼!,2016-12-31
2048ONE,3,还行,刻意练习最后三章根本看不下去，全是通过苍白的故事啰嗦重复的讲一件事情。 全书亮点在上半部分他对刻意练习的拆分和细讲都很不错。只能给三星，作者需要精简故事或者有更能说服人的故事这才是一本好书。说实话热销书里基本出不了好书,2017-04-11
弈笔弈画,3,还行,刻意练习的原则：目标明确；走出舒适区；有反馈，知道不足并改进。另外，年龄和天赋都不是问题，提高技能水平关键在于练习。全书事实论证比较多，论文味浓厚。,2017-02-25
Aura,3,还行,没有太多震耳发聩的东西，不太值得,2017-01-13
一只好运糖球🌈,1,很差,垃圾，反反复复的观点就是专注，练习，坚持！！这样的书都能到8分！快被骗的气死了啊!!!!（论豆瓣刷分的弊端)怒打1分,2017-12-01
Sra. Elisa,5,力荐,大多数时间我们都在重复做着无意识的动作，从这个自动模式中脱离出来就很重要了。一旦完成一个任务，不要马上进入下一个新任务，停下来，退一步好好的思考一会，有意识的选择下一件事你要做什么？,2018-01-01
,,6-,同类书籍的特点：一篇文章能讲清楚的问题用了一本书。然后一些时间管理、知识管理、学习方法的“导师”将它们的精神包装、售卖成上百甚至上千的课程。,2018-06-05
来远芳,2,较差,瞎几把翻译..,2017-09-26
开府仪同三尸,3,还行,一碗科学鸡汤。阐释了研习技能的正确法则，破除了高智商天才神话论。,2017-02-22
amour,3,还行,难看,2018-10-03
裙纸裙纸,4,推荐,对，就是这个词“心理表征”。,2017-11-17
飘零的小船,3,还行,标题就是主要内容，看书评就足够。,2019-11-27
林2姐,4,推荐,不信，我的一事无成肯定源于我的基因不好,2017-02-09
李嗲Lydia,3,还行,懂的人早做到了，不懂的人看完书了也学不会。,2017-11-19
知识管理咨询师,4,推荐,"半个月,读完也忘了讲啥了,😥",2018-04-01
局外人,2,较差,与很多成功学和鸡汤文类似，忽视智力差异，曲解基因作用，回避遗传学重要性.只浅谈父母教育，从不提来自父母甚至家族遗传对于某种才能的重要影响.,2017-01-11
summer,3,还行,花了几分钟扫了一下标题，不用浪费时间看。关键词：具体目标+专注训练+即时反馈+跳出舒适区,2019-08-07
阿和,4,推荐,"如果你在走神，或者你很放松，并且只为了好玩，你可能不会进步。
想办法稍微逼自己一下，但不要逼得太狠，这通常会帮助你搞清楚自己的“停滞点”在什么地方。",2017-08-07
,,4-,肌肉记忆,2019-04-14
二黑仔,3,还行,不断重复只是“天真的练习”，无法带来进步。“正确的练习”需要好导师、有目标、有反馈,2019-03-11
姑娘,4,推荐,看起来还是有一点枯燥的……,2017-07-07
王别树,3,还行,缺乏实操性，属于“道理我懂了，但没啥卵用”那类书，当然收获还是有的。开篇怼了一万小时定律这个励志鸡汤，随后进行补完：刻意练习、心理表征什么什么，大体就是得有好老师，有目的地长期练习，突破舒适区，及时获得反馈进行纠正改进。然后就是破除天才迷思，给我等庸众打打气。,2017-06-15
青木,3,还行,里面的各种故事就不值一提了。个人感觉练习最重要的还是专注、反馈和纠正吧。要不都是天真的练习，纯粹是自我陶醉，浪费时间而已。,2018-02-04
一个收银员,3,还行,核心“专注、反馈、修正”。,2017-05-06
summer吟游诗人,2,较差,极其啰嗦凑字数,2020-03-03
井行,4,推荐,对学习有认知上的改变。潜能也可以通过刻意练习来激发，方法真的太重要了,2017-04-28
猫姆,3,还行,从舒适区迁移到甜蜜区。废话多,2017-04-02
劈头士》睁木,5,力荐,已购。无论真假，写得非常撩人呐~~在某一专业领域的“天才”可以靠有目的的练习达成。首先需要找到好的导师（如果实在找不到，也可以用自己的方法训练，如富兰克林训练自己的文笔），其次需要反馈（类似于指出哪里做错了），最后专注地练习（稳步让自己脱离舒适区）。接下来在剑道和写作两方面来尝试,2017-10-25
光与影,5,力荐,"还是不错的，有启发，但是有时候觉得有些部分写的有点重复。
值得一读，值得一试，学习是一种方法，需要摒除偏见",2019-02-26
浅浅,3,还行,打脸那些自称“一万小时实践者”,2018-05-11
二月鸟,3,还行,"#听#书中金句

1. 所有人都以为“杰出”源于“天赋”，“天才”却说：我的成就源于“正确的练习”！
2. 让练习变成日常工作的一部分。练习是决定某个人在某个特定领域或行业中最终成功的唯一最重要因素。
3. 用刻意练习创造全新的世界。",2020-03-17
三日以往,4,推荐,产生兴趣，变得认真，全力投入，开拓创新。走出你的舒适区，以专注的方式制定明确的目标，为达到哪些目标制定计划，并且想出监测进步的方法，想办法保持动机。专注反馈纠正。,2018-11-14
叶籽猫,2,较差,论证的篇幅实在太多了，我们就是这么心急想要做法，做法，做法！,2017-05-31
丸子(^.^)v,5,力荐,"dilibrate practice is so powerful, in that it extracts only those effective ingredients in learning components.",2017-10-23
小欢欢,4,推荐,学霸养成记，心理表征,2018-04-17
黑心橘,3,还行,不算什么新观点，但还是值得终身学习者一读。作者重点批驳了天才基因论，也给格拉德威尔的1万小时理论做了补充。刻意练习=设定合理目标+有意识练习+高效专注+及时反馈+持续调整。,2017-08-09
gseed12,3,还行,= =論文注水成書，理論對一萬小時提出了修訂...提供了一個寬泛指導方法指引,2020-03-07
如电。,4,推荐,车轱辘话来回说 烫头的时候看的 烫完看完了 简单的道理写那么多字真是难为他了给个辛苦分吧,2017-11-22
墙壁眼睛膝,,2-,樊登,2017-12-30
力仆,4,推荐,听书的……挺好的，但是说小提琴是刻意练习就可以成为天才的…………好挫败,2019-12-29
等到风景都看透,4,推荐,刻意练习自己刻意阅读,2020-03-16
罗文益,5,力荐,还不错。,2016-12-09
木晴,3,还行,笨鸟福音，灭神之书。,2017-05-13
