moviesName,moivesEvalute,moviesCommentCout,moviesHotComment
海上钢琴师 La leggenda del pianista sull'oceano,9.3,224343,"['如果我把吉他练熟了，就可以不用买打火机啦', '每个人的心里都有自己的一艘船 一个近乎偏执的小归宿 只是因为它让我们感到实实在在的安全 不致无枝可依。', '每天睁眼，去面对这个世界都需要勇气。', '最长的一版完全是顺着煽情的每一个Ｇ点往下走的，坏处就是高潮多了人也会厌的。另外从小就好奇男二的眼睛为什么会小范围打转。', '我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。']"
机器人总动员 WALL·E,9.3,151243,"['没有引进真是太遗憾了。', '准备看第二遍', '地球上最后一個收納歸類狂walle應該是巨蟹座吧。。', '有那么一丝感人，但在皮克斯里不算最精彩的，是属于那种背景深刻剧情简单的片子。但是豆瓣咋能有那么高的分- -。', 'Just need someone who will look after you']"
三傻大闹宝莱坞 3 Idiots,9.2,244086,"['太给力了，有史以来最励志的电影。', '活在当下，不记得失，以无为之心做有为之事，你收获的会是比物质更珍贵永恒的生命体验。', '该片的中文翻译太烂了，差点就错过欣赏一部好作品了。\r\n兰彻一直在给大家灌输的一种理念就是：简单生活，遵从心声，为自己而活。 \r\n的确，他让朋友们重新认识了自己和所要坚定的方向。\r\n很喜欢片尾的那片湖泊，不知道是在哪里呢？', '它又吵又闹、又臭又长，但我想不出什么理由不给它五颗星。', '近三个小时的片长，却没有一个多余的情节，剧情前后呼应之巧妙值得称奇。好电影不一定要苦大仇深，能真正愉悦观众，那也是一种巅峰。“做一名摄影家又会怎样呢？挣得少一点，房子小一点，车小一点，但我会很快乐，很幸福……紧跟你的天赋。” 温暖励志美妙如2010年的《天堂电影院》+《阿甘正传》']"
楚门的世界 The Truman Show,9.3,188922,"['他用别人的相片拼凑出她的样子， 在这个虚假的，冷漠无情的世界里只有这份思念是唯一的真实', '我是不是也在楚门的世界活着？', ""Good morning, and in case I don't see ya, good afternoon, good evening, and good night!\r\n"", '看的时候甚至有种绝望的情绪，这个世界有时就是这么的令人无助', '年轻时候的金凯瑞真TMD 帅。尤其一头柔顺的头发。']"
放牛班的春天 Les choristes,9.3,142220,"['星期六，贝贝抱着小熊跟马修老师回家了！QwQ', '这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆', '看开头第一眼我就知道我喜欢。从来没有教不好的学生只有不会教的老师。人与人之间的交流是用心的，在我看着你的眼睛的时候我知道你是真心为我着想的，所以我才愿意选择相信。就这样。看一部好电影的感觉像是给心灵洗了一个热水澡。从里到外都会感觉到清澈的感觉。', '被那些孩子们所感动。天籁一般的童声，定是最接近上帝的存在。', '一位影评人：“不同于一般的运用悲情拼命煽情的悲情电影，或极尽夸张搞怪的爆笑喜剧，《放牛班的春天》是一部让人因为喜悦而泪流满面的电影。这也创造了法国电影新概念——阳光情感电影。这部没有美女、暴力；没有动作、凶杀和商业元素的好电影成为了本年度法国人的心灵鸡汤”']"
星际穿越 Interstellar,9.3,236366,"['三体迷们不用担心电影版会拍的稀烂啦！章北海船长，面壁人希恩斯，高维碎片，青铜时代和万有引力舰太空大战，冬眠和星际航行，三体世界的荒芜，高维世界的样貌，云天明的童话，诺兰新作中一次性看完！#刚刚看完星际穿越interstellar，感觉自己萌萌哒#', '整场基本屏住呼吸,瞠目结舌,无话可说.在香港这么多年除了电影节我第一次碰见放映结束观众集体鼓掌的.去年看完Gravity我觉得太空科幻片已经拍到头了,然后Nolan大神把我这点眼界碾压得粉碎.三体迷不必再较真拍三体这事Nolan已经把后半部给拍了.', '你应该敬畏时间，因为那是一切的密码；但不要滥用爱意，因为那不是一切的钥匙。', '非常理想化，所以显得很有种，没有公司敢让任何人拍这样的电影。致敬库布里克的镜头体现了导演的少女心。但有2001珠玉在前，我认为这部顶多和它并驾齐驱。诺兰尽其所能拍出了触手可及的科幻，硬核又充满人性，温情又隐含黑暗面，让人潸然泪下。“理想化”是不是削弱了剧本？大家保留各自意见吧。', '以地球全部北京化（咦？）为背景的近未来硬科幻，对虫洞、重力和时间维度都有新颖的理解，刻画的浩瀚宇宙让人目眩。可惜诺兰的野心太大（真的是bigger than bigger！），而且把人性拔那么高，到最后就成太空神棍片了...']"
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,153444,"['一遍烂，两遍笑，三遍哭', '任何时候任何场合都可以再看一遍的电影', '紫霞飘向太阳时、齐天大圣离开城门时，都哭成了傻逼。有多庆幸能踩着五彩祥云做你的盖世英雄，就有多遗憾没办法与你守护终身。喜欢的是五百年前的晶晶、还是给了自己三颗痣的紫霞；喜欢无拘无束敢爱敢恨的至尊宝、还是套上紧箍咒背影像狗的孙悟空？爱的命题究竟太空泛，恐怕还是要交给月光宝盒。', '小时候看着笑，长大了看着哭。', '盗用一句黄姐姐很喜欢的管风琴，""人能这么锲而不舍地轻佻，骨子里一定有哀世伤生的肃穆在支撑。""']"
熔炉 도가니,9.3,136912,"['媒体越干净，社会越肮脏', '我们愤怒的不仅是禽兽的行径，更是禽兽逍遥法外，正义无处伸张，无能为力才是最痛苦和绝望的。一个非常容易感动观众的题材，尤其还是真实事件改编。其实电影还有很多提升空间，包括对犯罪场面的描述太刻意未也太多了。但仍喜欢这样的电影，这才是电影应有的立场。这就是我们和韩影的差距。3星半', '大概只有套用《让子弹飞》里的一句经典台词才能略为表达我看完本片时的心情——震撼！震撼！！还是TMD震撼！！！我可以理解部分人站在纯粹艺术的角度对这部电影技法上的乏善可陈评头论足，但是我无法相信有人面对它由始至终散发出的那股震撼人心的力量时居然能做到完全无动于衷。', '“奋起反抗不是为了改变这个世界，而是为了不让这个世界改变我们。”电影以真实故事改编，又一部极其精彩反映社会阴暗的题材。每个人物都刻画的立体丰满，情感同样控制得当，无力感充斥全身。电影完结，愤怒、无奈、唏嘘、悲伤各种情感如同“雾津”的浓雾一般，久久未能飘散，始终萦绕心头。★★★★', '熔炉二字意思直到影片最后真正理解相信大多更是层层叠叠的无力感，这世界少部分人保留着人性多数猪狗不如，你不善可以但不要作恶。羡慕他们的制作环境至少能拍能过审，而中国的影片皆大欢喜的结局男女主角百分百的鸡巴爱情套路数的精良制作连说真话的机会都没有，我们怎么还有脸指责韩国，真羞耻。']"
疯狂动物城 Zootopia,9.2,229757,"['无论是人设，世界观，动画制作，还是剧本，都挑不出毛病来啊啊啊！！细节多到爆！！好幸福！！！！>w< 最难能可贵的是配角们的人物性格和形象设置都非常饱满（教父梗好惊喜>< ） 虽然是动画，但是剧本还是隐射很多人类社会的种族问题，以及政治两党上位之争的问题。另外我狐Nick的眼神是在太苏了TwT...', '哎呀呀~这些年来个人心目中的最佳动画竟然不是皮克斯出品。', '绝对的好片子 裂墙推荐。实在是因为另一场满了…随手挑了这个片子。真是5分钟一小笑 10分钟哄堂大笑。看那个又懒又慢树獭简直要锤墙了。旁边法国妹子精辟的吐槽！看！这是我们法国人。我要憋到内伤了。最后散场大家都静坐着等着整首歌放完…五星好评。2016年度十佳。', '好莱坞这套讲故事的模式可以把全世界都吃的死死的。', '最精彩的动画是用想象力拍出真实世界难以实现的故事，而不是用动物化填充一段如果是真人就普通到不能再普通的烂俗故事。笑料有，萌趣有，但更有的是莫名其妙的主旋律和政治正确，恐怕没有评分所体现的那么出色。']"
无间道 無間道,9.2,112310,"['牛就牛在，他让所有演员都达到了巅峰', '“出来混，迟早要还的。” 别说，这种港片老爸老妈们已经欣赏不了了，就连弟弟一起看都没坚持看完，哎，我说，片子都这么牛逼了，对你们来说却成不了经典，叹息。', '港片的里程碑', '卧！槽！居！然！这！么！好！看！（好后悔现在才看这部电影……所有人的演技都太棒了，甚至萧亚轩……）', '一气呵成。梁朝伟的眼神令人揪心。']"
龙猫 となりのトトロ,9.2,148905,"['如果你在下雨天的车站，遇到被淋湿的妖怪，请把雨伞借给它，你会得到森林的通行证哦', '摸摸龙猫的鼻子胡须就会颤动起来哦=w=……看见斜眼偷瞄逃跑的小白一定要跟上去！ 童话总是在相信它的人心中真实的存在着，想起来的时候心中就会充满温暖守护的力量', '萌啊，给我一只龙猫吧', '我好像看到小月和小梅坐在那棵松树上对我们笑。“搞不好真是她们呢。”', '宫崎骏最感人的一部，初看平平无奇，回味一下痛彻肺腑。']"
教父 The Godfather,9.3,97344,"['to所有男生：别想太多。你们都不是马龙白兰度，不是阿尔帕西诺。', '""Because a man who doesn\'t spend time with his family can never be a real man.""', '无论阿尔帕西诺多卖力，教父也只有一个，那就是永远的马龙白兰度。时代不一样，要走的路不一样，所以那个黄金时代，讲义气重家庭谈承诺的时代，永远回不去了。', '科波拉是有厌女症吧？这片子里的女人要么圣母得让人恶心，要么就傻逼得遭人烦，除了哭哭啼啼就是无理取闹。最后一个镜头，麦克成为新的教父，一道门隔开他的妻子，不是没有理由的。这是一个男人的世界。相对来说我最喜欢医院里那场戏，拍得相当有张力，第一场婚礼戏也喜欢。', '男性电影，没有打动我']"
当幸福来敲门 The Pursuit of Happyness,9.1,153633,"['我一直记得，有人对我说：当你迈过这个坎之后，你会发现，还会有什么不可以面对的困难。', '孩子母亲颤抖着说你会照顾好他；\r\n装扮成时光机器来安抚孩子，子夜洗手间中独自哭泣；\r\n“你是个好爸爸”，孩子说。\r\n看电影的时候，我的手经常不自觉的紧握着，为那揪心的困窘。\r\n幸福在这里敲门了，可是那些没有被敲门的人呢？', '生活时常会让我们感到艰辛，并会让我们无数次目睹生命在各种重压下的扭曲与变形。——《生命不可承受之轻》', '除了幸福 什么都能放弃 一定要幸福 和自己喜欢的人在一起 做自己喜欢的事', '想起来徐本禹说的那句话：”你穷，别人会同情你，但你一直穷，别人不会一直同情你的。“《幸福来敲门》虽然算不上是完美的励志片，但它至少教会我一点，不要把自己经历过的事儿当个事儿，即使能感动他人，这些也什么都不是。把这些扔在脑后，让生命爆发出战斗力，去击败一切，才是真正动人的感人故事。']"
怦然心动 Flipped,9.1,266995,"['我看完后也对这女孩感触特别深，她独立而勤劳，恪守自尊但又不敏感到浑身长刺，正像邦妮另外一条说的，没有那个男孩，她也会生长得很好。对于成长电影来说，它对孩子和家长都很有教育意义，不论面对挫折还是爱，它都有非常正向的可贵的价值观。', '当你喜欢我的时候，我不喜欢你；当你爱上我的时候，我喜欢上你；当你离开我的时候，我却爱上你；是你走得太快，还是我跟不上你的脚步……', '萌死我算了，男主太帅了吧！', '这算完美吗？小镇美景、帅正太、酷萝莉、家庭温情、成长点滴。。。双线结构，视角切换，细节丰富，过程明晰。。。爱就该是这样悠悠扬扬、婉婉转转、一阵冷、一阵热、一阵抽风、一阵颤抖的过程。。。睿智外公和脑残叔叔是惊喜。。。爱到最后拼的果然还是人格魅力啊。', '山楂树在梧桐树之前就是屎～']"
触不可及 Intouchables,9.2,145917,"['音乐真棒，看到最后有些意犹未尽。很舒服的电影，故事有趣又会带些感动。两个完全不同世界的人，因为教育、知识、习惯等各种不同造成情节冲突及笑料；而彼此的影响和同化则是感动的部分。对于菲利普来说，有时需要的未必是小心翼翼的服侍，而是像对待普通人一样的无歧视对待。', '5.0。年度十佳！高潮在别处！①艺术是人们来到这世界后所留下的唯一痕迹。②我的耳朵硬了。③斯芬克斯特质及柏拉图爱情。④幽灵痛症：就像冰冻牛排被扔进热锅中。⑤航拍式行车同《深海长眠》飞升梦境。⑥刮胡子：东正教-达利-希特勒。PS：锡兰“乌扎克”情韵，调以法式高雅，进而刷新了拍档片格调。', '去年的法国票房冠军，来自于一个真实故事的改编。少有的不刻意煽情，原声很棒，一个老套的故事竟能讲的如此有趣，还总能时不时惹人发笑，让人感动。最后字幕拉起时，仍在回味并享受那种喋喋不休与法式优雅情怀。有时，也许你给我的，是所有人都无法触及到的。★★★★', '但你们真的好容易被感动哦。', '看预告片还觉得这么老套。没想到这是我第一次在法国看到数次笑出声的电影，第一次全场满座我买到最后一张票的电影，第一次看带字幕的法语电影(聋人专场)，没想到摄影如此唯美合我胃口，没想到难舍基情如此动人。你们懂的。尤其是最后换谁都不要的那段，简直了。PS:白人男主角像张国立。']"
蝙蝠侠：黑暗骑士 The Dark Knight,9.2,113099,"['伟大之作,与其在文艺片里奋战,不如像这样提升商业片的水准!', '赞誉众口一致夸上了天，百闻不如一见，这种连环画超级英雄故事居然能扯到第六集真是要把编剧逼跳楼了，最后呈现的暗夜骑士全然超越了原著，悲怆到迷人的境界，着实是个奇迹。剧本确实很卓越，导演确实很出色，还有演技真是不得不叹服一下太tmd震撼', '诺兰的叙事能力不但在于结构上。。他总有一个与众不同的主题', '当之无愧最出色的商业电影！', '一直在搜索“为什么还有人想住在哥谭市”']"
控方证人 Witness for the Prosecution,9.6,70221,"['无论是剧本、导演还是个人表演，几乎都无可挑剔。机智的台词和精彩的法庭辩论，十足精彩！即便在结局前猜到了最终结果也并不会让电影在精彩程度上有丝毫削减。btw,电影最后提示请勿剧透我还真是头一会见。★★★★☆', '阿加莎·克里斯蒂的精妙情节配上比利·怀德的风趣对白，以及查尔斯·劳顿、玛琳·黛德丽、泰隆·鲍华等人的精彩表演，几近完美的电影。不老的玛琳·黛德丽，又被感动了，真棒。', '律师三寸舌，妇人宫心计，两者皆不敌，最坏男人心，花心郎算尽太聪明，反算了戚戚性命', '这片最大的反转不是影片末尾的谜底揭晓，而是看完影片后我查到女主角拍摄时已经五十六岁了。昏迷。', '包括希治阁在内都无人如怀德那样完美结合幽默感与悬疑剧，一星半；再无人能复制表情帝劳顿永远廿五岁玛琳黛德丽及一班人等的演技贡献，一星半；后世汗牛充栋的推理侦探小说家用各种方式都无法企及阿婆的高度，两星整。']"
活着,9.2,103291,"['活着就是受罪 活着就是劳累 \r\n活着就是互相折磨 活着就是不对 \r\n活着就是受罪 活着就是劳累 \r\n活着还得互相安慰 活着就会憔悴 \r\n活着就是受罪 活着就是劳累 \r\n活着就得拼命挣扎 活着就得干脆\r\n——尹吾 你笑着流出了泪', '中国不是没有好电影，而是真正好的电影没有在这个社会喘息的余地。竟沦落至此，天涯同道，难语归途。友庆死掉的那段，泣不成声，不忍卒读，他们逃不过。', '演员选得很好，巩俐演啥像啥。但整体没有小说感人，可能小说太残酷了吧。兴，百姓苦；亡，百姓苦。活到最后的人，往往最痛苦。', '个人认为张艺谋最好的电影，可惜这样的电影被当局禁了，因为固有的自卑。9分', '中影史：影片透过一个人的一生遭遇，涵盖着人在历史中的命运无法掌控的生命之痛，衍生出了对死亡的苦笑。全片具有一定的史诗性，这种史诗性被包装在个人和家庭的命运之下，同时隐隐露出一股的悲悯情怀和伤感的黑色幽默。影片的个人生存状态和苦难，在经过精简的历史背景里，体现出小人物的悲欢离合。']"
乱世佳人 Gone with the Wind,9.3,88307,"['也许每个女孩子心中都有一个艾希礼，只有经过时光才发现真爱原来是班瑞德。', '一定要看啊,我喜欢斯加丽那种几乎有点蛮横的可爱感觉.甚至可以为了达到目的不责手段,要么爱她,要么讨厌她.她在贫瘠的大地上拿着一根萝卜说(这个,好象很搞笑)""我对上帝发誓,我再也不要挨饿!""我爱上她了!', '艾希礼的年龄和长相确实是个问题，我怀疑盖博当初签合同的时候是不是要求所有男演员都必须找比他难看的', '原来80年前斯嘉丽就当了黑寡妇。', '這麽有名的片子，我今天才看。那時的彩色技術就那麽棒了？！！ / 你們都喜歡Scarlett和Rhett，我卻只喜歡Melanie和Ashley。']"
末代皇帝 The Last Emperor,9.2,92027,"['所有的离开你都赶不上，所有的门你都打不开。所有的人都是撒谎者。', '溥仪登基之初的十六抬大辇，和片末游行时红卫兵扛在肩上的毛泽东像，讽刺意味浓重。感觉导演还想告诉我更多的东西。但我更多是对这位末代皇帝的同情，还有艳慕。。。好喜欢大被同床的双飞镜头。', '一部酷似史诗的电影，张力很足，镜头娴熟大气，演员表演纯熟，从各个角度还原了中国的历史，细节十分出色。这部电影涵盖了太多的元素，耗资庞大，临时演员数量极多，场景大气恢弘。可以说是一部极其优秀的电影。只是关于历史的感慨和影片的深意或许还可以再深掘一点。总体而言是一部震撼人心的史诗巨作', '走過傳奇顛簸的一生，曾經被囚禁在紫禁城裡的少年皇帝變成一個兩鬢花白的老人。走到龍椅前面，對年幼無知的孩子說，this used to be my home。孩子無邪得說prove it，他伸出手去搜尋，破舊的竹籃裡，少年時的蟈蟈還在唱歡快的歌。這韶光，確早已不知換了幾回。\n', '能赶上电影节3D巨幕演《末代皇帝》真不容易。全片处处都是痛点。尊龙演的溥仪太经典。最后登上宫殿时，小心翼翼回头看，那种微妙的感情，配上一只穿越半个多世纪的蝈蝈，精妙动人。']"
寻梦环游记 Coco,9.1,255994,"['皮克斯保持原创的又一巅峰，回忆与遗忘的情感核心，在家庭、音乐、梦想、冒险的故事线下饱满溢出银幕，最后只能以泪洗面。2017年度Top3', '不得不服皮克斯，一边和你探讨梦想、成功、家庭的意义；一边用各种充满想象力的情节、画面、音乐，让你叹为观止；这样的电影，怎能不爱。（家长指导：6岁以上推荐看，虽然有亡灵情节，但这可是一个关于爱的故事。）', '亲情催泪弹。所以，动画会不会好看，除了技术，更重要的还是如何讲好故事，把感情放进去，借作品把情感传递开，包括这部以及头脑特工队等很多能成功，皆是如此。不过，有些人似乎总是搞不懂这件事。', '不算皮克斯史上最佳，但在今年这个格外寒冷的冬天，它足够温暖。', '麻烦说比头脑特工队好的适可而止，coco这烂大街的设定真的被头脑完爆。只是一些观众更吃coco这种温情又煽情的故事罢了']"
摔跤吧！爸爸 Dangal,9.0,217384,"['这么好的一部电影。。弄得这踏马什么破译名。。听起来像儿童片似的。。', '女权癌们归根结底还是她们看不起摔跤这项运动，要是把爸爸让女儿练习摔跤改成鼓励女儿去选美，当模特，变成大明星，估计就不会有那么多愤慨了。她们骨子里认为摔跤是男人的运动而已，所以说女权癌本质上是男权思维奴役下的产物。', '豆瓣文青们可能已经成功被白左的西方政治正确洗脑了：不放在具体语境下，以西方女权衡量一切本来就是一种偏见和武断。在整体状况还不如中国的印度，本片已经适当地展现了一种进步的女性生活方式，即便在父权的引导之下。让符号化的解读蒙蔽影片传达的真情实感，令人感到可悲。', '当查到两个女儿的演员并不是职业摔跤手时我惊呆了，这是一部市场经济主导的天朝电影界永远拍不出来的电影，女演员根本没有档期练什么摔跤，也不可能真的剪短发，更不可能有一线巨星为了演发福真的去增重，再为了一两场戏花五个月的时间减掉50斤。我们只有白百何的假头套和刘德华的大块头套装。', '最喜欢开头女儿埋怨爸爸的那段歌舞，叙事和歌舞互相成全，流畅至极。动作戏最喜欢吉塔初战男跤手和半决赛两场，人物与动作交融。为平权奋斗的主题和父女情都感人至深。民族主义煽情则显生硬。奉劝豆瓣那些不沾土不沾灰六亲不认的女权婊们，趁早移民欧美澳吧，我们发展中国家的小庙容不下你们这些大神。']"
少年派的奇幻漂流 Life of Pi,9.1,218499,"['【狐獴】，艺名丁满，出道时因自身面部表情傻不被业内看好，一直无名，早期作品有《狐獴大宅门》、《狐獴国度》。94年因参演《狮子王》名声大噪，后与疣猪彭彭发行单曲《哈库拉·马塔塔》，并出演电视剧《彭彭丁满历险记》，全球热播。近期，它又在《少年派的奇幻漂流》有着出色表演被更多观众熟知。', '深邃阔海，浩缈星空，绝境谕旨接踵而来，漩流深处响起弥撒之音。李安从来都不会纵情，他只是个温柔的人，腼腆着讲述内心的哲学。', '李安的片子越来越有得道升仙的感觉。。。把奇幻的世界也拍的太美了/见证上帝的说辞是真是让人羡慕有信仰真好/男主角π说人生虽然要放开一些事物，但是放开的时候还是要好好的道别呀。然后我就哭了。。。', '不得不承认，跟要讲的漂流故事一样，电影有个挺吸引人的3D开头。中间开始乏力，大段大段重复的明信片场景，呼唤神灵喊妈妈。至于所谓的黑暗版，这种流于表面、直接扔给倾听者（观众）去选择的方法，真的很独到吗？信哪个会提升你的人生感悟么？？反正，它是影响不了我对影片的失望', '基督在旷野修炼，魔鬼要求他展示奇迹将石头变成面包。但基督拒绝了，因为奇迹就是魔鬼的诱惑。故事出现第二个版本正是印证了这一点。它让电影主旨反转：不再是关于信仰的确立，而是它的缺失——信仰不能建立在奇迹之上，但假如你面对一个奇迹，却选择拒绝去相信，这就是没有信仰的悲哀了。']"
