24小时最热排名,电影名称,电影类型,详情url,电影分级,本站排名,浏览次数,收藏次数,简介
2,反美阴谋,美剧,http://rrys2019.com/resource/39526,d,3963,71801,4253,薇诺娜·瑞德、约翰·特托罗、安东尼·鲍伊(《德里女孩》)、佐伊·卡赞、摩根.斯佩克特(《疑犯追踪》)、艾奇·罗伯逊([超越生死的夜晚])将主演HBO六集限定剧《反美阴谋》。该剧改编自菲利普·罗斯2004年出版同名小说，故事以新泽西州一个工人阶级的犹太家庭为视角，讲述公开支持纳粹、反犹太人的美国飞行员CharlesLindbergh成功在政界崛起并成为总统后，他将如何奉行法西斯主义及逼害美国里的犹太人。大卫·西蒙、埃德·伯恩斯担任执行制片人。
10,惊异传奇,美剧,http://rrys2019.com/resource/39579,c,1996,241129,12942,爱德华·伯恩斯加盟苹果新版剧集《惊异传奇》。该剧由史蒂文·斯皮尔伯格打造，安培林TV、环球TV联合制作，苹果已预订10集。伯恩斯将在新剧一集中饰一名特工，该集导演马克·米罗(《权力的游戏》)，伯恩斯也将担任该集监制。老版《惊异传奇》曾于上世纪80年代中期播出过两季，由一系列具有科幻、恐怖、幽默等元素的故事组成，曾获12项艾美奖提名。
24小时最热排名,电影名称,电影类型,详情url,电影分级,本站排名,浏览次数,收藏次数,简介
7,绝命律师,美剧,http://rrys2019.com/resource/33190,c,39,2414863,64909,《绝命律师》是《绝命毒师》的前传。故事设定在SaulGoodman（BobOdenkirk）成为WalterWhite的律师的六年以前。这位后来以SaulGoodman著称的男人当时还叫JimmyMcGill，是一个三流律师，用各种不正当的手段谋生存。这部电视剧将讲述Jimmy是如何成为刑事律师SaulGoodman。
2,可口vs百事：可乐之战,英剧,http://rrys2019.com/resource/39654,a,1660,25372,1020,'Documentaryabouttheongoingbattlebetweenworld-famousbrandsPepsiandCoca-Colatoprovewhichoneofthemistopofthepops.Thefilmlooksatthesecretsofeachdrink''ssuccessandalsorevealsthestrategiesandsecretsbehindthefiercecontestbetweenthelong-timerivals,interrogatingtheircannymarketingploysandaggressivepromotionaltechniquesintheirbattletowinthenever-endingcolawar.'
9,行尸走肉,美剧,http://rrys2019.com/resource/11057,d,7,30027201,114844,行尸走肉下载/行尸走肉字幕下载行尸走肉是美国AMC电视台的丧尸电视剧，最近非常火爆，根据漫画改编《行尸走肉》讲述了警察瑞克在一次执法行动中因中弹负伤而不省人事，当他从昏迷中苏醒后却惊讶地发现，这个世界已然天翻地覆。周遭一派死境，丧尸横行，没有活人踪影。死里逃生的瑞克赶到家中，却不见妻儿的踪影……尽管僵尸题材有些老套，但这部漫画却着重刻画了人物角色的心理活动与变化，人性中的黑暗面在大灾难中暴露无疑。哀殍遍野，丧尸满目，人类在其中苟延残喘，带来毁灭与伤害的不仅仅是那些行尸走肉，还有活人间的互相争斗。故事将主人公一次次抛入绝境的同时，也给予观者一种如临末世的悲望。第二季的故事将会紧接着第一季结尾的时间点展开。首季结尾，从他们逃离亚特兰大疾病控制中心。新季将会紧接着大楼爆炸的一幕开始。“角色们还没有从这场巨大的紧张和惊恐之中缓过神来，他们接下来要怎么办呢，第二季的故事就从这里讲起。”第三季瑞克一伙人惊悚入狱，从丧尸手中夺下监狱，并试图重建生活。与此同时，安德莉亚等人来到了世外桃源小镇伍德贝里，并在那里遇到了谜一样的小镇统治者“总督”。第四季的故事重心回到了监狱，疫病横行，多位制作人都曾透露过，第四季将是本剧剧情最惨烈的一季。第五季的故事来到了终点站，等待瑞克他们的却是人面兽心的食人族！一场惨烈的人性大战即将上演！已续订第六季，2015年开播！
1,西部世界,美剧,http://rrys2019.com/resource/33701,e,9,6988522,169398,故事设定在未来世界，在一个庞大的高科技成人主题乐园中，有着拟真人的机器“接待员”能让游客享尽情欲、暴力等欲望的放纵，主要叙述被称为“西部世界”的未来主题公园。它提供给游客杀戮与性欲的满足。但是在这世界下，各种暗流涌动。部分机器人出现自我觉醒，发现了自己只是作为故事角色的存在，并且想摆脱乐园对其的控制；乐园的管理层害怕乐园的创造者控制着乐园的一切而试图夺其控制权，而乐园创造者则不会善罢甘休并且探寻其伙伴创造者曾经留下的谜团；而买下乐园的一名高管试图重新发现当年的旅程留下的谜团。
8,反美阴谋,美剧,http://rrys2019.com/resource/39526,d,4133,104140,5248,薇诺娜·瑞德、约翰·特托罗、安东尼·鲍伊(《德里女孩》)、佐伊·卡赞、摩根.斯佩克特(《疑犯追踪》)、艾奇·罗伯逊([超越生死的夜晚])将主演HBO六集限定剧《反美阴谋》。该剧改编自菲利普·罗斯2004年出版同名小说，故事以新泽西州一个工人阶级的犹太家庭为视角，讲述公开支持纳粹、反犹太人的美国飞行员CharlesLindbergh成功在政界崛起并成为总统后，他将如何奉行法西斯主义及逼害美国里的犹太人。大卫·西蒙、埃德·伯恩斯担任执行制片人。
11,星球大战9：天行者崛起,电影,http://rrys2019.com/resource/38949,b,7189,119957,7057,在《星球大战8》的故事结束后，后传三部曲终于迎来了高潮。
6,巢,英剧,http://rrys2019.com/resource/39713,c,4566,3502,69,'Howfarwouldyougotohaveababy?MartinCompston,SophieRundleandMirrenMackstarinthisemotionalthrilleraboutlove,trustandthetruecostofbuyingwhateveryouwant.Dan(Compston)andEmily(Rundle)arecrazyabouteachother.TheyliveinahugehouseinthenicestpartofGlasgowandwantfornothing.Butthey’vebeentryingtohaveababyforyearswithnosu...'
3,难以置信的怪物,电影,http://rrys2019.com/resource/39662,c,9794,45856,302,'Anambitiousprofessorbecomescaughtupinthemurderofaparticipantinhissleepstudy,asthelinesbetweendreamsandrealityblur.'
10,李尸朝鲜,韩剧,http://rrys2019.com/resource/37366,d,72,744835,54154,NETFLIX原创韩剧《李尸朝鲜》1月25号正式上线！本剧将由《隧道》导演金成勋与热剧《信号》编剧金恩熙合作打造！#朱智勋##裴斗娜##柳承龙#主演！在这个饱受贪腐和飢荒之苦的王国，一场神秘的瘟疫蔓延，被感染的人成为丧尸。被以叛逆之名构陷的王国世子为了拯救他的子民，于是著手调查，誓言找出藏在黑暗深处的邪恶力量。
13,舍己救人,电影,http://rrys2019.com/resource/39705,b,6672,14163,114,由弗雷德里克·特利尔执导，皮埃尔·尼内和阿娜伊丝·德穆斯捷主演的法国电影《舍己救人》（Sauveroupérir）讲述了一位巴黎消防大队的消防员的故事。刚刚成为指挥官的他在一场火灾中严重受伤，随之而来的除了漫长的复健以外，还有种种生活上心理上的严峻考验。这是对他的考验，更是对他的妻子家人及朋友的考验。他们能回到往昔的生活吗？接下来的日子应该如何度过？
4,国土安全,美剧,http://rrys2019.com/resource/11088,c,26,10129072,53597,本剧由《24小时》制作人HowardGordon和AlexGansa联手打造，前《嗜血判官（Dexter）》剧集运作人ChipJohannessen也已经与Showtime电视台新剧《国土安全（Homeland）》签下合约，担任编剧及共同制作人。该剧演员阵容豪华，有《兄弟连（BandofBrothers）》主演DamianLewis、艾美奖得主ClaireDanes、《犯罪心理》前老大MandyPatinkin、《V星入侵》剧中女王MorenaBaccarin及英国演员DavidHarewood加盟。该剧根据以色列剧集《PrisonersofWar》改编，故事围绕在伊拉克被俘8年的美国海军中士NicholasBrody（DamianLewis饰）展开，美军在对敌方基地展开袭击时意外发现并救回了Nicholas。荣归故里的Nicholas受到英雄般的礼遇，妻子Jessica（MorenaBaccarin饰）和两个小孩更因能与他团聚倍感幸福，然而8年战犯生涯留下的创伤和折磨依然没有消逝。与此同时，中情局女特工CarrieAnderson（ClaireDanes饰）掌握了证据表明Brody已经变节，并为基地组织效力，在美国本土策划发动恐怖袭击。于是她一面跟经验老到的上司兼导师SaulBerenson（MandyPatinkin饰）联手展开调查，一面还要跟自负的情报处副处长DavidEstes（DavidHarewood饰）斗智斗勇。
5,狩猎,电影,http://rrys2019.com/resource/39711,c,999999,8357,337,12个陌生人在空地上醒来。他们不知道自己在哪里，或者是如何到达这里的。他们不知道他们已经被选中，为了一个非常特殊的目的——捕猎。
12,黑色星期一,美剧,http://rrys2019.com/resource/37435,e,2304,127176,7221,这是钱德尔自《谎言堂》后回归主演Showtime剧集，讲述1987年10月19日，华尔街遭遇史上最剧烈的股市暴跌，一队外来人士摧毁了华尔街那由蓝血贵族长期把握的财政体系。钱德尔饰演自学成才的股市大佬，兰内斯饰演股票交易神童，豪尔饰演一名操盘手主管。《嫁给我》编剧搭档DavidCaspe和JordanCahan写剧本并担任主创。
24小时最热排名,电影名称,电影类型,详情url,电影分级,本站排名,浏览次数,收藏次数,简介
4,国土安全,美剧,http://rrys2019.com/resource/11088,c,26,10129072,53597,本剧由《24小时》制作人HowardGordon和AlexGansa联手打造，前《嗜血判官（Dexter）》剧集运作人ChipJohannessen也已经与Showtime电视台新剧《国土安全（Homeland）》签下合约，担任编剧及共同制作人。该剧演员阵容豪华，有《兄弟连（BandofBrothers）》主演DamianLewis、艾美奖得主ClaireDanes、《犯罪心理》前老大MandyPatinkin、《V星入侵》剧中女王MorenaBaccarin及英国演员DavidHarewood加盟。该剧根据以色列剧集《PrisonersofWar》改编，故事围绕在伊拉克被俘8年的美国海军中士NicholasBrody（DamianLewis饰）展开，美军在对敌方基地展开袭击时意外发现并救回了Nicholas。荣归故里的Nicholas受到英雄般的礼遇，妻子Jessica（MorenaBaccarin饰）和两个小孩更因能与他团聚倍感幸福，然而8年战犯生涯留下的创伤和折磨依然没有消逝。与此同时，中情局女特工CarrieAnderson（ClaireDanes饰）掌握了证据表明Brody已经变节，并为基地组织效力，在美国本土策划发动恐怖袭击。于是她一面跟经验老到的上司兼导师SaulBerenson（MandyPatinkin饰）联手展开调查，一面还要跟自负的情报处副处长DavidEstes（DavidHarewood饰）斗智斗勇。
3,难以置信的怪物,电影,http://rrys2019.com/resource/39662,c,9794,45856,302,'Anambitiousprofessorbecomescaughtupinthemurderofaparticipantinhissleepstudy,asthelinesbetweendreamsandrealityblur.'
1,西部世界,美剧,http://rrys2019.com/resource/33701,e,9,6988522,169398,故事设定在未来世界，在一个庞大的高科技成人主题乐园中，有着拟真人的机器“接待员”能让游客享尽情欲、暴力等欲望的放纵，主要叙述被称为“西部世界”的未来主题公园。它提供给游客杀戮与性欲的满足。但是在这世界下，各种暗流涌动。部分机器人出现自我觉醒，发现了自己只是作为故事角色的存在，并且想摆脱乐园对其的控制；乐园的管理层害怕乐园的创造者控制着乐园的一切而试图夺其控制权，而乐园创造者则不会善罢甘休并且探寻其伙伴创造者曾经留下的谜团；而买下乐园的一名高管试图重新发现当年的旅程留下的谜团。
9,行尸走肉,美剧,http://rrys2019.com/resource/11057,d,7,30027201,114844,行尸走肉下载/行尸走肉字幕下载行尸走肉是美国AMC电视台的丧尸电视剧，最近非常火爆，根据漫画改编《行尸走肉》讲述了警察瑞克在一次执法行动中因中弹负伤而不省人事，当他从昏迷中苏醒后却惊讶地发现，这个世界已然天翻地覆。周遭一派死境，丧尸横行，没有活人踪影。死里逃生的瑞克赶到家中，却不见妻儿的踪影……尽管僵尸题材有些老套，但这部漫画却着重刻画了人物角色的心理活动与变化，人性中的黑暗面在大灾难中暴露无疑。哀殍遍野，丧尸满目，人类在其中苟延残喘，带来毁灭与伤害的不仅仅是那些行尸走肉，还有活人间的互相争斗。故事将主人公一次次抛入绝境的同时，也给予观者一种如临末世的悲望。第二季的故事将会紧接着第一季结尾的时间点展开。首季结尾，从他们逃离亚特兰大疾病控制中心。新季将会紧接着大楼爆炸的一幕开始。“角色们还没有从这场巨大的紧张和惊恐之中缓过神来，他们接下来要怎么办呢，第二季的故事就从这里讲起。”第三季瑞克一伙人惊悚入狱，从丧尸手中夺下监狱，并试图重建生活。与此同时，安德莉亚等人来到了世外桃源小镇伍德贝里，并在那里遇到了谜一样的小镇统治者“总督”。第四季的故事重心回到了监狱，疫病横行，多位制作人都曾透露过，第四季将是本剧剧情最惨烈的一季。第五季的故事来到了终点站，等待瑞克他们的却是人面兽心的食人族！一场惨烈的人性大战即将上演！已续订第六季，2015年开播！
2,可口vs百事：可乐之战,英剧,http://rrys2019.com/resource/39654,a,1660,25372,1020,'Documentaryabouttheongoingbattlebetweenworld-famousbrandsPepsiandCoca-Colatoprovewhichoneofthemistopofthepops.Thefilmlooksatthesecretsofeachdrink''ssuccessandalsorevealsthestrategiesandsecretsbehindthefiercecontestbetweenthelong-timerivals,interrogatingtheircannymarketingploysandaggressivepromotionaltechniquesintheirbattletowinthenever-endingcolawar.'
13,舍己救人,电影,http://rrys2019.com/resource/39705,b,6672,14163,114,由弗雷德里克·特利尔执导，皮埃尔·尼内和阿娜伊丝·德穆斯捷主演的法国电影《舍己救人》（Sauveroupérir）讲述了一位巴黎消防大队的消防员的故事。刚刚成为指挥官的他在一场火灾中严重受伤，随之而来的除了漫长的复健以外，还有种种生活上心理上的严峻考验。这是对他的考验，更是对他的妻子家人及朋友的考验。他们能回到往昔的生活吗？接下来的日子应该如何度过？
11,星球大战9：天行者崛起,电影,http://rrys2019.com/resource/38949,b,7189,119968,7057,在《星球大战8》的故事结束后，后传三部曲终于迎来了高潮。
7,绝命律师,美剧,http://rrys2019.com/resource/33190,c,39,2414863,64909,《绝命律师》是《绝命毒师》的前传。故事设定在SaulGoodman（BobOdenkirk）成为WalterWhite的律师的六年以前。这位后来以SaulGoodman著称的男人当时还叫JimmyMcGill，是一个三流律师，用各种不正当的手段谋生存。这部电视剧将讲述Jimmy是如何成为刑事律师SaulGoodman。
12,黑色星期一,美剧,http://rrys2019.com/resource/37435,e,2304,127176,7221,这是钱德尔自《谎言堂》后回归主演Showtime剧集，讲述1987年10月19日，华尔街遭遇史上最剧烈的股市暴跌，一队外来人士摧毁了华尔街那由蓝血贵族长期把握的财政体系。钱德尔饰演自学成才的股市大佬，兰内斯饰演股票交易神童，豪尔饰演一名操盘手主管。《嫁给我》编剧搭档DavidCaspe和JordanCahan写剧本并担任主创。
8,反美阴谋,美剧,http://rrys2019.com/resource/39526,d,4133,104140,5248,薇诺娜·瑞德、约翰·特托罗、安东尼·鲍伊(《德里女孩》)、佐伊·卡赞、摩根.斯佩克特(《疑犯追踪》)、艾奇·罗伯逊([超越生死的夜晚])将主演HBO六集限定剧《反美阴谋》。该剧改编自菲利普·罗斯2004年出版同名小说，故事以新泽西州一个工人阶级的犹太家庭为视角，讲述公开支持纳粹、反犹太人的美国飞行员CharlesLindbergh成功在政界崛起并成为总统后，他将如何奉行法西斯主义及逼害美国里的犹太人。大卫·西蒙、埃德·伯恩斯担任执行制片人。
6,巢,英剧,http://rrys2019.com/resource/39713,c,4566,3515,69,'Howfarwouldyougotohaveababy?MartinCompston,SophieRundleandMirrenMackstarinthisemotionalthrilleraboutlove,trustandthetruecostofbuyingwhateveryouwant.Dan(Compston)andEmily(Rundle)arecrazyabouteachother.TheyliveinahugehouseinthenicestpartofGlasgowandwantfornothing.Butthey’vebeentryingtohaveababyforyearswithnosu...'
10,李尸朝鲜,韩剧,http://rrys2019.com/resource/37366,d,72,744835,54154,NETFLIX原创韩剧《李尸朝鲜》1月25号正式上线！本剧将由《隧道》导演金成勋与热剧《信号》编剧金恩熙合作打造！#朱智勋##裴斗娜##柳承龙#主演！在这个饱受贪腐和飢荒之苦的王国，一场神秘的瘟疫蔓延，被感染的人成为丧尸。被以叛逆之名构陷的王国世子为了拯救他的子民，于是著手调查，誓言找出藏在黑暗深处的邪恶力量。
5,狩猎,电影,http://rrys2019.com/resource/39711,c,999999,8372,337,12个陌生人在空地上醒来。他们不知道自己在哪里，或者是如何到达这里的。他们不知道他们已经被选中，为了一个非常特殊的目的——捕猎。
