title,score,number reviews,comment list hot
小王子,小王子,9.0,"['十几岁的时候渴慕着小王子，一天之间可以看四十四次日落。是在多久之后才明白，看四十四次日落的小王子，他有多么难过。', '读了好多年，终于读完了，但是实在共鸣不起来，虽然知道那些道理，但真的觉得没什么了不起啊，是我还太幼稚吗？', '我早该猜到，在她那可笑的伎俩后面是缱绻柔情啊。花朵是如此的天真无邪，可是，我毕竟太年轻了，不知该如何去爱她。', '我的玫瑰花儿，只有四个微不足道的刺，用来抵御这个世界。', '这是一本定位颇尴尬的名著，薄薄的一本小册子里充满了太多的暗喻和说教，对孩子来说看不懂且沉闷，对大人来说，也许能够理解其中一部分的暗喻了，但是却又早已成为了书中的“成年人”。']"
房思琪的初恋乐园,房思琪的初恋乐园,9.2,"['25岁生日这天把房思琪交付印厂，简体版2018年1月25号上市。做这本书的过程经历了很多，简体版的授权很不容易，感谢游击文化对我们的信任和配合。简体版也得到了他们的认可，除了几处极个别的涉台词语外极少删减，性描写也基本保留，奕含写的克制而干净，实无删改之必要。感谢出版社老师对这本书的爱护，尊重了作者文字。感谢李银河戴锦华张悦然詹宏志蒋方舟等老师的郑重推荐。感谢很多人，为了房思琪和更多读者的相遇。这本书值得也应该被更多人看到，是我的初衷，也是我的目标。', '她懂得很多，说话也很深刻，但却有一种单纯感。我不知道她是怎么做到的，她是深刻和单纯的糅合体。她访谈时说：在读这本书的时候，你能感受到痛，那是真实的；你能感受到美，那也是真实的。我都感受到了，甚至能够感受到她被折磨而无法解脱的心情，这是林奕含留给我们的遗言。', '北影阿廖沙、侯亮平【被】销声匿迹；恋童癖许豪杰恢复微信公号实名，并反咬一口将不肯透露举报人信息的豆瓣告上法庭；北航博士罗茜茜时隔十二年实名举报教授陈小武曾对她及多名女生性骚扰——这些，是你朝反性暴力的实时进程，我们的#me too#远未成声势。这本书的出版告诉我们：不，你并没有选择，你不再可以假装世界上没有人以强暴小女孩为乐；假装从未有小女孩遭受强暴；假装房思琪从不存在。因为这本书属于“文学”，但不单单属于文学，它是一个承受残暴性伤害的女生，为自己提前写就的悼文；因为强暴，是人类社会有史以来最大的屠杀。读着林奕含的文字，一再想要哀叹“可惜”。但可惜这个词太傲慢、太冷酷了，终归是活人对她文学天才的掂量，对可能存在的所谓文学成就or损失的收支核算。而她经受的苦痛黑洞，这些，根本不足以抵偿。', '简体版终于体面问世了：「一切文学，余爱以血书者。」', '台湾：\n5月12日，台北市政府与台中市政府教育局宣布将要求补习班教师必须使用真名，并上网登记教职员名册。5月16日，台南市政府整合各局处联合启动行动方案，“保儿少防狼师”，此次行动方案包括全面盘点、实名落实、网络合作及服务加值四大主轴，将严格执行补习班稽查与管理。5月26日，立法院通过《补习及进修教育法》修正案，规定补习班应揭露负责人及教职员工真实姓名；外籍教师必须提出良民证；补习班人员若获知有性侵害、性骚扰等情形，有通报责任。\n5月18日，总统府司法改革国是会议决议应当废除通奸罪；若因故无法立即废止，则应即刻删除刑事诉讼法239条但书，即可单独对配偶撤回通奸告诉，仅起诉第三者的条款。\n你国： \n2018年1月8日，清华女生发起反性骚扰运动，消息被立刻封锁、删帖。']"
天龙八部,天龙八部,9.1,"['经典武学起于春秋，到北宋达到极盛，南宋有所衰落，元末因明教兴盛中兴。明代更有了东方不败等大师。但期间伽利略的出现已预示其衰落。康熙年间出现牛顿，梯云纵灭绝。道光年间出现卡诺，玄冰掌灭绝。尤其是力学定理建立后，内力和轻功全部消失，梯云纵这种只需吐纳练便可自带反重力系统的轻功彻底消失', '慕容复是没落皇族子孙，毕生追求皇位，对王语嫣视如草介，段誉是正牌皇帝继承人，却爱美人宁弃江山。你所追的，正是我所弃的，尽道人生的可笑荒谬。', '因为众生皆苦，便觉得自己也不是很苦。', '金圣叹评《水浒》论武松为天人，萧峰何尝不是天人。看他有阔处，有毒处，有正处，有良处，有快处，有真处，有捷处，有雅处，有大处，有警处，实是金大侠小说中之第一人。 ', '偌大一本书，数百豪杰人物，萧峰一出，全归背景']"
安徒生童话故事集,安徒生童话故事集,9.2,"['比格林好，而且寒假过后的几个月，经常在里面翻出压岁钱', '《海的女儿》是爱情的启蒙。', '如果不是叶君健译的就不要看，书者与译者相得益彰，擦出的精致纯美，无人可及', '写给成人的悲伤童话', '小时候看是童话 现在再看的话才发现都是悲剧']"
撒哈拉的故事,撒哈拉的故事,9.2,"['三毛的文字其实没有特别出挑的地方，但是合成一篇，整个却显得真实、清爽。她很好地遵循了白话文“有什么说什么，该怎么说就怎么说”的宗旨，而且她聪明在不在散文中论理，不作生硬的哲思，单纯就事论事，从而反倒能让人身临其境~~印象最深的是她和荷西去偷看别人洗澡灌肠，再如三毛考驾照的那几个考题，好笑极了~~而读到他们遇到三个疯子袭击则心提至喉~~看散文，以前喜欢过余秋雨的辞藻，现在越来越喜欢三毛这类的平淡，平淡是真，写文常常有自炫的诱惑，能抵住诱惑是不容易的。。。【题外】三毛与荷西是般配的一对，如果荷西没有去世地那么早，三毛可能也不会弃世了吧。。。“人”果然是两个人互相支撑在一起才能不倒下的。。。', '自你之后，再无真正流浪自由的灵魂。', '再看到 荒山之夜 仍然还是以前的震惊！他们那么随便就经历了一场出生入死，而且完全不在意，人生多么的洒脱啊', '读过三毛全集，最好的还是这一册。', '顺便说一句，那些看完这本书就想义无反顾冲到撒哈拉去的文艺青年们，有些人的浪漫情怀，洒脱和气质是天生的，学不来']"
哈利•波特,哈利•波特,9.7,"['自然记得从小学到高中的暑假，坐在空调房间的地板上，一边吃西瓜一边沉浸在魔法世界的时光，记得高中时熬夜刷题的间隙，吃一碗泡面，看一会死亡圣器，枯燥的晚上也充满幻想。再见，我曾经心心念念想去的霍格沃兹。', '至今还记得，读第一本哈利波特的时候，是站在厨房的灯下一口气读完的。', '想说的都在这儿了。\n\n作者：凉白（来自豆瓣）\n来源：https://www.douban.com/doubanapp/dispatch/review/8504335\n\n《哈利.波特-(珍藏版)(全七册)》的豆瓣书评:【“死亡不过是另一场伟大的冒险”】', '伴随了我整个童年成长的经典小说。现下唯一美中不足的应该就是马爱农和马爱新在圣器那一本翻译的时候不停的引用了本山大叔的小品名句“你太有才了”！', '魔法世界就是值得这样的分数。']"
围城,围城,8.9,"['男人的西服、礼帽、衬衫、皮鞋。女人的旗袍、高跟鞋、草帽、丝巾。统统被夺了去，他们赤裸裸的、所有真实与不堪全摊开来。男人的怯懦，女人的刻薄。血液流动，肌肉收缩，蓝的静脉，红的动脉，白色泛黄的骨骼。这是唯唯诺诺的、自大的、逃避着的、自欺欺人的中国人。有人的地方就有政治。男男女女，也不过一场博弈。可是我们谁也离不了谁。还是冯唐坏水最多：他说希望上天安排张爱玲和钱钟书凑一对，看谁刻薄死谁！', '\u3000我不禁想起了培根的论读书，读书不应该为了炫耀，装潢，而应该是为了丰富自身，提升自己的精神涵养吧。一个读书人骨子里的干净和纯粹，那种浑然天成的优雅气质，和无所谓的态度，却不是一个心怀杂念的人能够比得了的。知道比不了，就可以放弃比较的心，炫耀的心了。就可以把读书这件事，放得低些，再低些，低到功利心都无趣了，褪去了', '真后悔买了这本书！看完以后再也不敢说自己写过小说了', '钱锺书先生的文字才能称之为幽默，阳春白雪的冷幽默除了韩寒在《三重门》中模仿一番现世倒是十分罕见的了。小说的带入感太强，就算断断续续也能让人读罢感觉自己就是个“不讨厌但是无用”之人。', '外面的人想进来，里面的人想出去。不仅仅是婚姻，世间万物都是如此，人就是如此矛盾的动物。']"
人类简史,人类简史,9.1,"['作者很年轻，博览群书，对几乎所有学科发展到当代的基本理论和观点熟谙于心，也敢说，因此，这本书并未提供任何新的和独到的观点，只是一份讲稿，.所谓“简史”并不是史学，而是他串起自己世界观的线索。但他提供了一套完整的“当代人”的价值体系，而且政治正确，内容丰富，语言生动，一个年轻人如果知识比较零碎，读这本书再适合不过了。', '前几章的观点很刺激，后边就水了。', '作者认为人类（智人）的发展基于两个能力：1、虚构故事的能力。（认知革命，从而带来农业革命。）2、数字化的能力。（从而带来科技革命）。另外，虽然作者始终在小心翼翼地遮掩着他立论的基础——演化论（以免被人指控为纳粹），但是他藏不住的是由演化论导致的虚无——超人类终究会取代智人，我们只是万物演化进程中的意外，我们为吉尔伽美什计划成功的倒数计数，就是我们距离坟墓的步数。', '加长版知乎答案。', '读了四分之三，可以弃了。这是一本典型的「干货」书，用最简单轻松的方式先抛出来各种观念，再挑选历史做例证，很像杂志文章的写法。但是一本四百多页的书，顶着这么大的名头，整个推理过程都弱到令人吃惊。这本书不会给人什么思辨上的教育，也不好意思去摘录引用做论据，就是个藏得很深的机场读物。']"
沉默的大多数,沉默的大多数,9.1,"['我对自己的要求很低：我活在世上，无非想要明白些道理，遇见些有趣的事。倘能如我所愿，我的一生就算成功。为此也要去论是非，否则道理不给你明白，有趣的事也不让你遇到。我开始得太晚了，很可能做不成什么，但我总得申明我的态度，所以就有了这本书——为我自己，也代表沉默的大多数。 ——王小波', '我看现在是冷漠的大多数了\r\n', '与其别人让我闭嘴，不如我自己赶快沉默了去。你的理又不是我的，我跟你辩个五六七八没意思。', '我对《沉默的大多数》的笔记(49)：http://book.douban.com/people/GayScript/annotation/1054685/ 如果对人生有疑惑，推荐看下《月亮和六便士》《苏菲的世界》《少有人走的路》《沉默的大多数》。', '我们是沉默的大多数，或在内心挣扎，或在脸上写满愤怒，然而结局终究是平庸与顺从。']"
霍乱时期的爱情,霍乱时期的爱情,9.0,"['想写本小说：男主是饿了么的外卖员，某次上门送餐，女主惊鸿一蹩给半个世纪后的爱情纠葛埋下伏笔。男主千方百计要到女主的 QQ 号，两人聊得火热，在网上结下山盟海誓。聊了两年，某次偶然见面让这段网恋见光死。后来，女主在一次 O2O 的上门会诊时被高富帅医生盯上，这次误诊让他们发展为夫妻。男主伤心欲绝、萎靡不振过后，下定狠心要赢得她，要赢得匹配上她的名誉和财富，要等着情敌的死去，哪怕等到世界末日。他下载了 KEEP 乐动力悦跑圈一堆健身 APP，锻炼身体。他在微信陌陌上寻花问柳，但为她保持着内心的贞洁。他加入滴滴从事运输行业，从程序员做到董事长。五十一年后，女主的爱人去世了，男主再次向女主重申对她永恒的忠诚和不渝的爱情……五十三年后，他 76，她 72，男主备胎转正。书名叫《互联网时期的爱情》', '读过最好的小说之一，最后在船上那段更是看过的最美的爱情。马尔克斯也告诉我们：屌丝能够战胜富二代唯一的方法，就是要比他活得更长。来，让我们一起锻炼身体吧。', '不夸张地讲，这本书包含了爱情的全部答案。阅读本书的好处是重新相信爱情；坏处是意识到即便相信也无济于事。', '终于看完了，但我越发糊涂，53年7个月零11天的等待，到底是不是爱情。如果是，她在私定终身的那一刻为什么逃走了？如果不是，那些往来的信件和矛盾的焦虑又算什么？\n在她遇难守寡时他的出现无疑给了她生活下去的希望，可那应该叫做感激。而他50几年的寻花问柳背后，所保持的内心的贞洁，是否是种不甘心的征服欲？\n不能问作者了，他死了= =', '书中描写的爱情，是那么自相矛盾却又合情合理。那么悲伤却又充满着狂喜。那么苍老无助，却又在某个瞬间，永远年轻。']"
平凡的世界（全三部）,平凡的世界（全三部）,9.0,"['忍着终于听完，长吁一口气。“生活啊，你是多么的变幻莫测”一类无病呻吟听多了，李野墨语重心长的声音现在还赖在耳边不走。每当作者摆出振聋启聩的架势，等说出道理却不过是无谓与无根的感怀，我的耐心就被削去一层。写农村是书中最上乘的部分，有血有肉。但描述官场占据大段篇幅，人物如脸谱般单调羸弱，官话连篇难以下咽。我不赞成作者极力宣扬的价值观。人经受苦难不可怕，可怕的是对苦难的偏好。书中优秀的都市女性前赴后继拜倒在农村青年的高贵思想前，后者十分感动但是出于各种原因拒绝了她们。这是官宦千金爱上穷书生的翻版。出现一次是美好，可一个个都这样算怎么回事。作品的全知视角采取一种讲课口吻，文字似未精炼，叙述常重复，正如生怕学生忘了重点。假如你对自己的价值观延续千年没有十足把握，最好不要采取这么强势的叙述态度。', '理解不了这么高分都是怎么打的。匠气太重，自作聪明，充满革命现实主义那种莫名其妙的东西。语言平庸甚至有时做作，人物扁平苍白，冲突乱七八糟，故事七零八落，思想简直就差直接高唱一曲忠诚的赞歌。大概唯一可取的地方就是真实，可它给我的直接感觉就是一个高中生费劲巴拉地日记般把所见的毫无筛选的记录了一遍，大哥，大部头不是这样写的！！', '叙事手法平庸，平铺直叙，几乎毫无戏剧性可言；从文字到字里行间透露出的思想也是平庸之极。匠气十足的通俗文学作品，坚持读了一百多页后实在难以再读下去。真不明白八九十年代为什么会把这部作品捧得如此之高，也不明白它是怎样获得茅盾文学奖的。', '每次都是连第一本的一半都看不完就弃了，真心觉得无聊。同期的《白鹿原》和《废都》我都看得很欢乐。谁能告诉我为什么这套的评价那么高....', '一个崇拜的学长倾情推荐，读完以后就再也不崇拜他了']"
局外人,局外人,9.0,"['道德判你死刑，哲学证你无罪。', '书是好书，序真的不行！写了二十多页序的柳鸣九老爷爷，带着太多主观臆断“事先”强加给读者，去为主角辩解这样辩解那样，仿佛忘了读者也会思考......', '其实很多人跟男主人公本质一样  只不过男主人公不懂得扮演能满足社会需求和大众希望看到的角色，同质化的洪潮无法忍受一个随心所欲释放自我的人，他太直白太坦诚了，没有按照那些审判他的人所希望看到的表现出痛悔愧疚之情；因为没能满足他们的控制欲，他被无情的弄死了。这种控制欲美名其曰道德，但我没看出来这份“道德”跟他犯的过失杀人罪有什么丝毫的关系。', '一开始我就站在主角的一边。突然想起高中同学对我评价:你是一个没有正常道德感的人。', '“对于世界，我永远是个陌生人，我不懂它的语言，它不懂我的沉默，我们交换的只是一点轻蔑，如同相逢在镜子中”']"
明朝那些事儿（1-9）,明朝那些事儿（1-9）,9.1,"['第一次看，还是06年第一本的电子书。后来家里有了本盗版全集，大16开800多页，板砖一样。这两天住院期间带了那本“板砖”重温了一遍，印象最深的是胡宗宪打海盗那段，最大的体会是，人可以没有良心但不能没有理想，没有良心的人未必不能做好事，但没有理想的人，只是苟活世间尔。', '一个寒假看完，不拘一格拆解历史，虽不无主观，但的确很好看；最喜欢2、3集，万国来朝，文治武功，宫闱权斗，兄弟反目，于谦、王阳明伟立光明；中期妖孽盛行，流派林立，皇帝老儿冷眼旁观群臣斗；后期党同伐异，万象争流，妖人牛人猛人一锅粥，270多年的帝国灰飞烟灭，浪滔滔千古风流人物，尽成烟云；官场如职场，厚黑学从来没消失过！', '入门佳作，但是作者为了趣味性而牺牲了严谨性。', '一部关于厚黑学的血泪史', '能勾起你读其他书的书，就是好书。']"
笑傲江湖（全四册）,笑傲江湖（全四册）,9.0,"['小时候读《笑傲江湖》也就看个热闹，不明白欲练神功必先自宫背后的映射，如今就业将近十年，在是是非非的工作当中才恍然大悟，其实葵花宝典并非什么难练的武功，只要横下心去自我阉割，舍了脸皮和尊严，没有什么得不到的。最难成就倒是令狐冲的独孤九剑，谁能耐住孤独在现实欲望的横冲直撞之下守住自己的精神家园，那才是真正的笑傲江湖。', '东方不败出场只9页啊啊啊！！！！！！！！！', '以前最喜欢杨过，现在越来越喜欢令狐冲，那种越穷途末路越是满腔豪情的末日狂欢气质看着就过瘾。笑傲江湖最近几年看了几遍，某些段落都快会背了。', '写作时代是中国的文革，基本上里面所有人物都处在压抑与阴谋的阴影里，偶像崇拜，权利的斗争，人伦关系的沦丧。令狐冲最后看似逃离了一切，却也没有获得自由，个人心中金庸真正的五星作，讲中国人与社会的关系非常有深意的一部作品。看完的时候，我居然不禁在想chinese这个tag本身就是一种诅咒，本应该消亡的东西依旧挟持着我们的心灵，真是太可怕了', '从前武侠读得太少，此次算是补课，断续看完，殊觉荡气回肠，爱不释手。书中的令狐冲不知是否金庸最喜欢的角色，在我看来，确是光明磊落，侠骨柔情，令人钦佩。此外女子如盈盈、仪琳、岳灵姗，男子如风清扬、方证大师、桃谷六仙等，都给人留下深刻的印象。东方不败、岳不群、任我行三人，都算得是一代枭雄，可惜收场有些草草。原是正邪势不两立的世界，到后来几乎掉了个头，可知善善恶恶并非那么简单。值得注意的是，这本小说还有寓意深刻的一面，说什么千秋万载、一统江湖，大概离政治专制不远，令狐冲的反对，颇有抗争的味道。大儒孟子说过“物之不齐，物之情也”的话，西哲罗素也主张“参差多态乃是幸福的本源”，东海西海，心理攸同，此在今日看来，尤觉意味深长。儒者以文乱法，侠者以武犯禁，殊途而同归，无非是为这浊世鸣不平罢了。筱堂记于望岳楼']"
月亮和六便士,月亮和六便士,9.0,"['大多数人所成为的，并非是他们想成为的人，而是不得不成为的人。“责任”是最大的文明，也是最大的虚伪。', '月亮是头顶上的理想，而现实是脚下的六便士。只顾着捡便士容易忘记抬头看看月光，他们不容易理解追月的人。但如果你选择追月，渐渐地你就会飞起来啦。', '自作聪明的写法，道德批判虚伪近似矫饰。厌女症加性瘾症。你说不知道会有男同性恋仇恨女性？看看毛姆你就知道了。抛弃妻子的文艺中年圣经。侮辱同时代的人，后面还去塔希提和小萝莉生了一群娃，所谓人生赢家恶俗至此，不明白有什么脸好自称自己是天堂代言人。', '我生命中的奇书，每读一次必定做出一个生命中的决定，到以后看，那决定似乎是错误的。', '1.为了使灵魂宁静，一个人每天要做两件他不喜欢的事。2.作者应该从写作的乐趣中，从郁积在他心头的思想的发泄中取得写书的酬报；对于其他一切都不应该介意，作品成功或失败，受到称誉或是诋毁，他都应该淡然处之。3.我看到了井然有序的幸福，但是血液里却有一种强烈的愿望，渴望一种更狂放不羁的旅途。4.我必须画画儿。5.你的意识是：如果他为了一个女人离开你，你是可以宽恕他的；如果他为了一个理想离开你，你就不能了，对不对？6.另一个人的精神走进一个人的躯体里，把他自己的赶了出去。7.要是一个女人爱上了你，除非连你的灵魂也叫她占有了，她是不会感到满足的。8.我觉得你很象一个终生跋涉的香客，不停地寻找一座可能根本不存在的神庙。我不知道你寻求的是什么不可思议的涅槃。']"
