电影名,评分,评论数,热评1,热评2,热评3,热评4,热评5
三傻大闹宝莱坞,9.2,1284532人评价,这几个月来看过的最好的片——”做自己“，也许才是人生终极的成功。别总嘲笑印度人”阿三“，他们已经追上来了，无论经济、科技还是我们一贯认为只会跳舞唱歌的宝莱坞电影。盛赞！5+1星！,"【温馨提示：请忽略这傻逼名字.不然你会错过一部好电影】1、病毒的鸟巢飞来了一只自由之鸟；2、Ta有没有告诉你,朋友就是给你一枚硬币教你自己独立做出选择的那个人.这个人才是你最大的财富 ：）",太给力了，有史以来最励志的电影。,一部讽刺社会现象的电影都可以拍的这么轻松，喜剧里还可以有这么多闪光的慧言慧语。情节确实太过随意，下一秒的夸张总是来的让人啼笑皆非，无可奈何中却仍旧乐呵呵的接着看下去。 末了的那段风光让我无比钟情！★★★★★,很棒的印度电影，这当中一样的可以看到中印相似的教育体制与贫富阶层问题。轻松、暴笑、热泪中感受积极人生的力量。梦想与事业，做我们喜欢的事情，是成就的不变真理。
楚门的世界,9.3,1021701人评价,我是不是也在楚门的世界活着？,就算是已经完全知道剧情走向也还是被震撼被感动。就算你能摄影我的一切也无法在我脑内安装摄影机。,要想阻挡我 只有杀我,当你望着深渊的时候，深渊也在回望你。楚门之外的世界，又会有怎么样的窥探？最怕的是，我们永远无法求证自己身处在哪个世界。,这是一部每个中国人和每名中国同志都应该看的电影，我们就是无数的楚门，生活在这个时代。我们的命运被操控在他人手中，大多数人还并没有发现，更多的人发现了也无力挣脱。心灵的顿悟是人生的必修课，你不去选择它，它就会左右你。“人生如戏，戏如人生”
放牛班的春天,9.3,894175人评价,那漫天飘扬的纸飞机是我对你最诚挚的敬意。,这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆,看到激动地直起鸡皮疙瘩，看来总有那么一种类型的东西能感动本人,马修先生好可爱。,所以我一直坚信最好的教育人才应该放在学前教育和初等教育。小学老师对孩子的未来产生的影响远大于大学老师。可现状却是，大批自己都没学会怎么做人的人被随随便便扔到了小学、初中做老师，放纵霸凌，根据权势财势“因材施教”，惩罚性教育，把孩子逼上绝路就让天性不良背锅，呸。
星际穿越,9.3,1033923人评价,你应该敬畏时间，因为那是一切的密码；但不要滥用爱意，因为那不是一切的钥匙。,赶着首映翘课去看了imax版。诺兰一直在围绕人物内心讲故事，配上宇宙孤独梗，目瞪口呆或许是夸张，但泪流满面了几次绝对是事实。很多宇宙中的片段没有背景音乐，全场安静地如梦如幻。影片结束后随着观众鼓了掌，能和这样出色的人类活在同一个时代，的确是我的幸运。 期待影片明年多拿到几个提名,以地球全部北京化（咦？）为背景的近未来硬科幻，对虫洞、重力和时间维度都有新颖的理解，刻画的浩瀚宇宙让人目眩。可惜诺兰的野心太大（真的是bigger than bigger！），而且把人性拔那么高，到最后就成太空神棍片了...,相比诺兰之前的片子，这部显得比较慢热。然而前两段的层层铺垫终于迎来了第三段主题呈现的水银泻地。Inception仅仅一笔带过的亲情成为了这部电影的核心母题。麦康纳和查斯坦的精湛演技，胶片IMAX呈现出的影像质感，实拍特效的震撼人心，平行剪辑的完美流畅，寂寞大叔创造性的管风琴配乐，神一样的诺兰,一边太空冒险，一边是通俗的情感戏。无论外表多硬科幻：虫洞、黑洞、太空冒险、多维空间……最核心的仍是亲情与爱。科学与理论其实都是为感情服务的，用很硬的外壳包裹最柔软的情感。也因为此，它不会是2001那样严肃伟大的科幻片，但却有更饱满的感情。包括那些泪点
大话西游之大圣娶亲,9.2,1009438人评价,有人跟我比赛背台词么,我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死,小时候看着笑，长大了看着哭。,年少时特别不喜欢周星驰，觉得瞎搞，觉得脏乱差，但长大之后，每看一遍就难过一遍，每看一遍哭一遍。他真是在这里说尽了爱，说尽了责任，说尽了人世种种无奈无力,"盗用一句黄姐姐很喜欢的管风琴，""人能这么锲而不舍地轻佻，骨子里一定有哀世伤生的肃穆在支撑。"""
熔炉,9.3,618663人评价,這個世界的絕望在於，眼睜睜地看著那麼多的不公不平每天都在身邊發生，自己再怎麼努力卻依舊無可奈何；而這個世界的希望也在於，明知是蚍蜉撼大樹，卻還是有那麼一群人執著地選擇了這一條艱難而幾近不可能的路。,当邪恶的力量已经渗透至社会的每个角落尤其是当权者手中，我们还他妈向谁去央求公平和自由,令人绝望的不是电影，而是生活本身。,“奋起反抗不是为了改变这个世界，而是为了不让这个世界改变我们。”电影以真实故事改编，又一部极其精彩反映社会阴暗的题材。每个人物都刻画的立体丰满，情感同样控制得当，无力感充斥全身。电影完结，愤怒、无奈、唏嘘、悲伤各种情感如同“雾津”的浓雾一般，久久未能飘散，始终萦绕心头。★★★★,我在想演戏的小孩子会不会有心理阴影
疯狂动物城,9.2,1195919人评价,完爆冰雪超能头脑，动物再次证明了动画片不止是给小朋友看的，而是全年龄段和世界级的，尖端数码特技、新意剧情、老梗新用搭配萌Q画风，乌托励志、搞笑温情、自然销魂、阴谋反转，用动物来映射人类，涉及种族歧视和两党斗争，无论从制作技术还是政治倾向或是社会意义来说，基本锁定今年奥斯卡最佳动画,赞 看完赶脚世界都美好了,"想嫁给又吊儿郎当又酷得不像话的狐狸先生。
自认为是奥斯卡长篇动画的有力候选。
啊啊啊，真的好好看，我要去二刷。",好莱坞这套讲故事的模式可以把全世界都吃的死死的。,超~~~~~~~~~~可爱的。大眼睛看得我都化了。一想到未来狐狸跟兔子可能有感情戏，我就hhhhhhhh。那只长耳朵的狐狸和那群二哈狼是我的笑点！！！
无间道,9.2,824568人评价,牛就牛在，他让所有演员都达到了巅峰,最后那一下爆头，刘德华和梁朝伟的眼神里都是震惊，他死在电梯里，电梯门来回的开关，我们也从震惊中恢复，觉得残酷，谁说的，好人有好报，那些为民除害的，都死了。会有人惦记着他们吗？把他们视为英雄吗？又有什么用呢，这个社会还不都是恶人当道。,现在看来，无间道一部电梯里挤了三个影帝，这部电梯也算是前无古人后无来者了。,一气呵成。梁朝伟的眼神令人揪心。,难怪高中时大家那么喜欢。片尾才发现，陈永仁的生日和我一样。
龙猫,9.2,862892人评价,原来龙猫的戏份这么少啊。,摸摸龙猫的鼻子胡须就会颤动起来哦=w=……看见斜眼偷瞄逃跑的小白一定要跟上去！ 童话总是在相信它的人心中真实的存在着，想起来的时候心中就会充满温暖守护的力量,"我要告诉你，纯真是一种财富。

",我好像看到小月和小梅坐在那棵松树上对我们笑。“搞不好真是她们呢。”,因为缺少重看的观影经历，又被那套网络上的都市传说所影响（已辟谣），一直在疑心，年少时，是不是真有遗漏掉关键信息。得益于二十年后的重映，大银幕上重温，依然觉得是个单纯无比、被孩童想象所充盈和浇筑的成长故事。里面有美化过后，昭和年间的田园风貌回忆。樟树王、老房子、水稻田、乡间小路和巴士车。 小孩子能看见龙猫，自然是关于童心无邪。除了制造人类与大自然的连接，更多是因为，小孩子才能看见美好、已经失去的东西...
教父,9.3,633088人评价,"男人。
千万不要记恨你的对手，这样会让你失去理智。",2010-02-17 看过。对权力有清醒的认识才能写出这样的剧本。只知道引用台词或把此片当作所谓“男人圣经”的观众退散！,当一个新生儿在教堂接受教父的洗礼时，教堂之外的死亡正在蔓延……,科波拉是有厌女症吧？这片子里的女人要么圣母得让人恶心，要么就傻逼得遭人烦，除了哭哭啼啼就是无理取闹。最后一个镜头，麦克成为新的教父，一道门隔开他的妻子，不是没有理由的。这是一个男人的世界。相对来说我最喜欢医院里那场戏，拍得相当有张力，第一场婚礼戏也喜欢。,平缓的节奏蕴藏着巨大的权威和张力，音乐舒缓淡淡忧伤，利益博弈人性冲突。无论是演技还是镜头、音乐的运用，都给人以一种美的享受。而看这部电影是极其需要沉下心来细细品味，也无论何时翻出来重温都能有新的感受。★★★★☆
当幸福来敲门,9.1,1030524人评价,"There is no ""why""　in happiness, there is an ""I""
里面立志的桥段很多，比如说打篮球时候威尔对他儿子说的话.这是中国父母需要学到的...尽可能地给孩子一个美好的世界.","孩子母亲颤抖着说你会照顾好他；
装扮成时光机器来安抚孩子，子夜洗手间中独自哭泣；
“你是个好爸爸”，孩子说。
看电影的时候，我的手经常不自觉的紧握着，为那揪心的困窘。
幸福在这里敲门了，可是那些没有被敲门的人呢？",有点失望...感觉是为了励志而励志......要不是导演和演员功力，就沦落成俗套励志片了......,生活时常会让我们感到艰辛，并会让我们无数次目睹生命在各种重压下的扭曲与变形。——《生命不可承受之轻》,除了幸福 什么都能放弃 一定要幸福 和自己喜欢的人在一起 做自己喜欢的事
怦然心动,9.1,1185803人评价,某山渣树怎么好意思说自己是史上最纯？？！！！！！ 这个真打动我了。。。女孩是第二眼美女！！！！！！！！！！,我看完后也对这女孩感触特别深，她独立而勤劳，恪守自尊但又不敏感到浑身长刺，正像邦妮另外一条说的，没有那个男孩，她也会生长得很好。对于成长电影来说，它对孩子和家长都很有教育意义，不论面对挫折还是爱，它都有非常正向的可贵的价值观。,上学的时候早恋，父母反对；上班了不恋爱，父母反对。你真是羡慕人家老外啊。,可能比山楂树还纯哦！,太好看了！十星推荐！就是太短了呀！！！！！！
触不可及,9.2,673851人评价,今年看的第二部佳片。茫茫人海，两个截然不同的人相遇，你改变了我，我改变了你，相逢的人会再相逢。关于社会的贫富差距、青少年犯罪、种族歧视这些虽没有明说却在暗中映射，以此来烘托角色。富豪有钱却残疾不快乐，黑人贫穷却有一颗善良乐观的心。ps:Ludovico Einaudi的配乐很加分！,某个人在不经意间走进你的生活，他和你不同阶层，不完美，甚至有不少讨人厌的毛病，但是长期的相互信任和理解成就了一段真挚友情，也给两个人的生活都带来了阳光。把德瑞斯的原型改成黑人使对比更强烈情节更戏剧化，也让这段超越种族的友情更感人。影片里乘着滑翔伞在山谷中翱翔那幕太美了……,但你们真的好容易被感动哦。,黑&白，老&少，超越种族和阶级的友情，感人至深的温情，细腻动人的剧情，以及极赞的电影配乐，不禁让人想再次回味...,不怜悯是种更高级的尊重
蝙蝠侠：黑暗骑士,9.2,694076人评价,大片中很有内涵的一部，不管是人们心中暗自涌动的对小丑疯狂灭世主义的不安的共鸣，还是对蝙蝠侠孤独暗夜行走的英雄惜英雄般同情，其实都是人们对这个世界失望的一种情绪释放。其实小丑说的很对，他和蝙蝠侠很像，都是异类，只不过蝙蝠侠把痛苦留给自己，顽固地去坚守一丝信仰，而小丑把痛苦还给世界。,Batman是最不漫画的漫画英雄，也正因为这一点，使之最有可能成为跨越犯罪剧情片和漫画英雄片界限的特例。而这一次，编导精准的抓到了这一点，把这部电影打造得丰富严谨又酷劲十足，无论是满足视听还是人性复杂层面的挖掘上都做到了堪称完美！,诺兰的叙事能力不但在于结构上。。他总有一个与众不同的主题,当之无愧最出色的商业电影！,绝对是杰作，大陆上不了院线在广电的耻辱柱上划了浓墨重彩的一笔～
控方证人,9.6,259893人评价,男人贪心，女人贪爱,又是让我尖叫打滚的经典佳片！绅士又纯青的表演，奇妙而精巧的情节推进，幽默且风趣的细节，当然还有巧夺天工的结局！尽管后来的电影常常窥见模仿此处环节之处，但查尔斯劳顿、玛德琳黛德丽和比利怀尔德终究是无法复制的！,律师三寸舌，妇人宫心计，两者皆不敌，最坏男人心，花心郎算尽太聪明，反算了戚戚性命,诙谐的对白，严谨的思路，一心要把观众往沟里带的情节。ps:我觉得那个女仆的表演也很不错！,包括希治阁在内都无人如怀德那样完美结合幽默感与悬疑剧，一星半；再无人能复制表情帝劳顿永远廿五岁玛琳黛德丽及一班人等的演技贡献，一星半；后世汗牛充栋的推理侦探小说家用各种方式都无法企及阿婆的高度，两星整。
活着,9.2,535341人评价,个人认为是张义谋最好的电影。,一个时代有一个时代的悲哀和可笑，你能在别人心酸的故事中读出些许温情，也能从自己的平凡中领会些许荡气回肠。电影少了原著的惨烈，但那种好死不如赖活着的悲凉还是存在的。,活着就是一切！戛纳评委会大奖，老谋子最好的电影。,改编自余华的小说【活着】。很好看。书和电影都好看。活着的人比死了的人还痛苦。我觉得是的。,中影史：影片透过一个人的一生遭遇，涵盖着人在历史中的命运无法掌控的生命之痛，衍生出了对死亡的苦笑。全片具有一定的史诗性，这种史诗性被包装在个人和家庭的命运之下，同时隐隐露出一股的悲悯情怀和伤感的黑色幽默。影片的个人生存状态和苦难，在经过精简的历史背景里，体现出小人物的悲欢离合。
乱世佳人,9.3,459735人评价,请上帝保佑那个真正爱你的人吧，你把他的心都揉碎了。,至今记得亚特兰大的战火中她奔走的背影，裙裾摆动。她的野性和骄傲，坚强与倔强，不甘弱示或屈服，瑞德与她是相似的。如果瑞德爱上的不是郝思嘉，一定不会掉进那个自掘的陷阱里。对于郝思嘉佩服之极，对于瑞德，感动了，且唏嘘而惋惜。,看完斯嘉丽那么瘦小的身躯，却承受着那么大的压力，都能顶的住。真的感觉不到什么叫困难了，第二天去考试奇迹般的过了。。,這麽有名的片子，我今天才看。那時的彩色技術就那麽棒了？！！ / 你們都喜歡Scarlett和Rhett，我卻只喜歡Melanie和Ashley。,"斯佳丽很有个性的一个女人，瑞特巴特勒船长也让人难忘，费雯丽身上体现了那个时代女性独立自强的性格。

瑞特巴特勒船长太有魅力，笑着说“那是你的事情，亲爱的”。对于斯嘉丽，巴特勒船长真的是尽力了，斯嘉丽醒悟得太晚了，“tomorrow is another day”是最真实的谎言。"
末代皇帝,9.2,470608人评价,他痛哭流涕追阿毛、失魂落魄追婉容，但始终追不回那昔日辉煌的时代。他反抗太监偷窃文物、反抗日本傀儡操控，但终究反抗不了自己跌宕唏嘘的命运。他做了一辈子囚徒，在紫禁城在满洲国在抚顺管教所。终于买了张观光票，在赤色余晖中蹒跚进入太和殿。须臾一世，只有那皇座下藏着的蟋蟀，还认得他是帝王。,溥仪只是那个大时代里一个无法左右自己命运的小人物，注定在历史洪流中成为悲剧人物。……贝托鲁奇并没有洋洋洒洒的去讲溥仪的故事与中国的历史，而是选择了一个独特的视角来看待末代皇帝的人生。只是……紫禁城太监还有皇帝与皇妃在后宫都是一口英文……★★★★☆,极致的美，极致的伤。音乐太灵，画面太精，原来早在1987年，外国导演就早于《活着》《霸王别姬》把20世纪中国历史拍的如此炉火纯青了…“我从未和家人分开过” 额娘，阿嬷，婉容，庄士敦，溥杰，皇宫…溥仪的一生都在告别，跟亲人，跟时代，跟历史，身不由己。@上海国际电影节 4k修复版,贝托鲁奇镜头下的中国始终是存在于他想象中的红色国度。电影拍得过于西化了，但讨巧的用溥仪的命运承载了近半个世纪中国的变迁，进而阐释了人与命运对抗的古希腊悲剧主题。如果说人的一生是不断失去的过程，溥仪无疑是失去最多的，因为他曾经拥有整个中国...,作为一个外国导演不可能拍得更好了，但我是一个中国人。
寻梦环游记,9.1,995638人评价,供奉的遗像是牵引家人回家的通道，驻留的记忆是保持亡灵存续的神力，热闹的音乐是唤醒思念启封的药引。我为你写了首歌，穿越浩瀚的岁月烟尘，捱过冰冷的孤独冬季，横跨漫长的天人之路，在你老去的时候，唱给你听。这瑰丽的灯火万家，摇曳的烛光千盏，不如你梳着麻花辫坐在床头时，眼里闪烁的星光璀璨。,皮克斯保持原创的又一巅峰，回忆与遗忘的情感核心，在家庭、音乐、梦想、冒险的故事线下饱满溢出银幕，最后只能以泪洗面。2017年度Top3,亲情催泪弹。所以，动画会不会好看，除了技术，更重要的还是如何讲好故事，把感情放进去，借作品把情感传递开，包括这部以及头脑特工队等很多能成功，皆是如此。不过，有些人似乎总是搞不懂这件事。,不算皮克斯史上最佳，但在今年这个格外寒冷的冬天，它足够温暖。,一个基于文化传统的完整世界观，挖掘了死亡与回忆的意义。绚烂热闹的亡灵界令人神往，皮克斯技术上的优势再度体现的淋漓尽致。故事上更像《飞屋》和《头脑》的墨西哥音乐MV版，家族的温情对应的是偶像的坍塌，成长的叛逆与梦想总有归宿。亡灵们的骷髅梗真是个百试不爽的笑点宝库阿。
摔跤吧！爸爸,9.0,1044588人评价,阿米尔一人饰演男主角19、29、55岁三个人生段。他首先完成了19岁的戏，然后疯狂增肥，一个月时间变成了体重194斤的55胖大爷，拍完老年戏后，又用5个月的时间疯狂减肥，回去拍29的戏！所以：为什么要这么折腾自己？直接拍完29再拍55不就好了？阿米尔说：那样我就没有动力瘦回去了！,一群骂父亲剥夺女儿未来的白左真令人作呕。我们现在有资格成为女运动员女演员女记者女程序员，是因为有牺牲童年牺牲安逸的开路人。女儿对未来应当有自主选择权，更需要能力支撑选择。脱离社会环境探讨权利都是耍流氓。14岁嫁给老头的闺蜜不用忍受被迫练习摔跤的嘲讽，so？,中国真是太多中华田园伪女权了，丢人,最惊讶的是放印度国歌的时候电影院几乎所有人都站起来了。。,最喜欢开头女儿埋怨爸爸的那段歌舞，叙事和歌舞互相成全，流畅至极。动作戏最喜欢吉塔初战男跤手和半决赛两场，人物与动作交融。为平权奋斗的主题和父女情都感人至深。民族主义煽情则显生硬。奉劝豆瓣那些不沾土不沾灰六亲不认的女权婊们，趁早移民欧美澳吧，我们发展中国家的小庙容不下你们这些大神。
少年派的奇幻漂流,9.1,983202人评价,深邃阔海，浩缈星空，绝境谕旨接踵而来，漩流深处响起弥撒之音。李安从来都不会纵情，他只是个温柔的人，腼腆着讲述内心的哲学。,我以为它会回头，但它只是朝着森林深处望去，然后永远消失了。也许父亲说得对，它根本没有把我当成朋友，但我非常确定，我在它眼中看到的，绝对不只是我自己目光投射的倒影。它就那么头也不回的走了，但在我内心深处，它永远与我同在。,五星献给自己看到的最好的3D电影。李安自己也说，拍这电影是不可能完成的任务，但他自己辛苦努力四年终究做到了。第一次如此感受到3D是一部电影不可分割的一部分，以及变换的画幅比例、层层交替的剪辑，一切都是为了故事本身。故事从冒险到有些奇幻，PI其实没有很多内心表达的镜头，但我可以感受到它,基督在旷野修炼，魔鬼要求他展示奇迹将石头变成面包。但基督拒绝了，因为奇迹就是魔鬼的诱惑。故事出现第二个版本正是印证了这一点。它让电影主旨反转：不再是关于信仰的确立，而是它的缺失——信仰不能建立在奇迹之上，但假如你面对一个奇迹，却选择拒绝去相信，这就是没有信仰的悲哀了。,同樣是關於少年和冒險的故事，不得不說，勝過老馬的《雨果》不止一兩點。第一次，3D的感覺不再那麼商業。50屆紐約電影節光榮開幕影片！More than just amazing and great. 
指环王3：王者无敌,9.2,507470人评价,我就不明白甘道夫升级为白袍巫师了怎么不爱使魔法，改成肉搏战士了。一直期待他使一招毁天灭地……,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。,超级经典，看了无数遍,04年奥斯卡陪练片都很弱，所以也没什么冤案。小金人发给三部曲，PJ拍完LOTR本来就是一件伟大的事情。鉴于电影的要求，老左怨念的“霞尔平乱”是不能有的，拍了绝B被喷成画蛇添足。当然就一部忠于原著的电影而言，PJ做得很到位了，不过要看完三本书三部片绝对需要足够的毅力和体力。,"彼得大帝告诉你：什么叫做史诗！
本片荣获第76届奥斯卡最佳影片、最佳导演、最佳改编剧本、最佳视觉效果等11项大奖，和《泰坦尼克号》《宾虚》并列“获得奥斯卡最多的电影”。"
