title,score,score_num,short1,short2,short3,short4,short5
文学回忆录（全2册）,9.2,"(
                    31054人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


文学是可爱的。生活是好玩的。艺术是要有所牺牲的。 八十年代末，木心客居纽约时期，亦自他恢复写作、持续出书以来，纽约地面的大陆和台湾同行在异国谋饭之中，居然促成木心开讲“世界文学史”，忽忽长达五年的一场“文学的远征”——从1989年1月15日开课，到1994年1月9日最后一课，每位听课人轮流提供自家客厅，在座者有画家、舞蹈家、史家、雕刻家等等。 听课学生陈丹青说，“我们当年这样地胡闹一场，回想起来，近于荒谬的境界：没有注册，没有教室，没有课本，没有考试与证书，更没有赞助与课题费，不过是在纽约市皇后区、曼哈顿区、布鲁克林区的不同寓所中，团团坐拢来，听木心神聊。” 菜单开出来，大家选。从古希腊神话、新旧约，到诗经、楚辞，从中世纪欧洲文学，到二十世纪文学世界，东方西方通讲，知识灵感并作。其中听的听，讲的讲，“金句”纷披，兀自燃烧。“讲完后，一部文学史，重要的...(展开全部)
","

.intro p{text-indent:2em;word-break:normal;}


木心（1927—2011），原籍浙江，上海美术专科学校毕业。在“文革”囚禁期间，用白纸画了钢琴的琴键，无声弹奏莫扎特与巴赫。陈丹青说，“他挚爱文学到了罪孽的地步，一如他罪孽般与世隔绝”。著有《哥伦比亚的倒影》、《素履之往》、《即兴判断》、《琼美卡随想录》、《温莎墓园日记》、《我纷纷的情欲》、《西班牙三棵树》、《鱼丽之宴》、《巴珑》、《伪所罗门书》、《诗经演》、《爱默生家的恶客》、《云雀叫了一整天》等书。 木心说:“贝（聿铭）先生一生的各个阶段，都是对的；我一生的各个阶段，全是错的。”这不是反讽，而是实话，因为实话，尤甚于反讽——五十年代末，他躲在家偷学意识流写作；六十年代“文革”前夕，他与人彻夜谈论叶慈、艾略特、斯宾格勒、普鲁斯特、阿赫玛托娃；七十年代他被单独囚禁时，偷偷书写文学手稿，令人惊怵不已；八十年代末，他年逾花甲，生存焦虑远甚于流落异国的壮年...(展开全部)
",文人论史的精彩之处就在于偏见。,骗不读书的人而已。如果自己读书，必然意识到木心的一家之言。比如，他说中国没有神话。《山海经》里夸父追日那么霸气的故事还不算神话，精卫填海总该算了吧。中国神话不能按照西方的神谱一样成为体系，但说中国没神话是片面的。不过，有些观点还是颇有趣的。,干货少，胡扯多。对于印度史诗的介绍令人抓狂，感觉好像看了小人书的第一本的头几页就敢出来说，听上去就好像“水浒传的主要情节就是洪太尉误放妖魔，红楼梦的主要情节就是一个地主把女儿丢了”。
神雕侠侣,8.9,"(
                    74937人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


金庸（1924年2月6日—），香港“大紫荆勋贤”。原名查良镛(zhā liáng yōng，英：Louis Cha)，浙江海宁人，当代著名作家、新闻学家、企业家、社会活动家，《香港基本法》主要起草人之一。金庸是新派武侠小说最杰出的代表作家，被普遍誉为武侠小说作家的“泰山北斗”，更有金迷们尊称其为“金大侠”或“查大侠”。 金庸生于1924年，祖籍为安徽省桐城，出生在浙江海宁，查家为当地望族，历史上最鼎盛期为清康熙年间，以查慎行为首叔侄七人同任翰林。现代查氏家族还有两位知名人物，南开大学教授查良铮（穆旦）（四十年代九叶派代表诗人，翻译家），台湾学术界风云人物、司法部长查良钊。出自海宁的著名人物还有王国维和徐志摩。徐志摩是金庸的表兄。金庸祖父查沧珊是“丹阳教案”的当事人。 1937年，金庸考入浙江一流的杭州高中，离开家乡海宁。1939年金庸15岁时曾经和同...(展开全部)
",杨过是个好儿郎。只是觉得他和小龙女的爱情波折实在太多 老天够狠 中间都有些读不下去。但好在有情人终成眷属。另外 看到现在的武侠 最喜欢的英雄也是杨过吧 生世凄苦 屡遭大难。又偏是聪敏非常义气十足而能磊落光明心地善良 同时又是放浪不羁卓然立于世。所以 一见杨过误终身是难免的…,如今回头看，只觉一见杨过误终身好没道理。程英妥帖，无双机敏，绿萼善良，又不是草包花痴，何来一个个钟情杨过，这种开挂的模式终究不喜。还有变成鱼眼珠子的蓉儿，不再是射雕里的娇俏女儿，这种改变是可怕的，这种设定是直男癌的。,天地之间，不过你我互相怜惜。,如果要开一个“我最不喜欢的金庸女主角”的名单，小龙女绝对首当其冲。/最感慨的莫过于欧阳锋和洪七公双双葬身于华山峰顶。凡尘俗事抛诸脑后，只是一笑泯恩仇。绝了。
上帝掷骰子吗,9.2,"(
                    19459人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


《上帝掷骰子吗》这本书是关于量子论的故事。量子论是一个极为奇妙的理论：从物理角度来说，它在科学家中间引起了最为激烈的争议和关注；从现实角度来说，它给我们的社会带来了无与伦比的变化和进步；从科学史角度来说，也几乎没有哪段历史比量子论的创立得到了更为彻底的研究。然而不可思议的是，它的基本观点和假说至今没有渗透到大众的意识中去，这无疑又给它增添了一道神秘的光环。 这本书带读者做一次量子之旅，从神话时代出发，沿着量子发展的道路，亲身去经历科学史上的乌云和暴雨，追逐流星的辉光，穿越重重迷雾和险滩，和最伟大的物理学家们并肩作战。除了回顾基本的历史背景，还将向着未来探险，去逐一摸索量子论面前的不同道路，闯入人迹罕至的未知境地，和先行者们一起开疆扩土。让人惊叹的，不仅仅是沿途那令人眼花缭乱的绚丽风景，更来自于人内心深处的思索和启示——那是科学深植在每个人心中不可抗拒...(展开全部)
",读到238页终于读不懂了。,这本书对量子论的大师的介绍，是精彩绝伦。这实质是量子力学史的介绍，实质不能算量子力学的科普。,我最近一直在想怎么在建筑里搞个双缝干涉的照明,神书！不认真看没意思，认真看一定三观崩溃。PS：海森堡与玻尔很萌，有一部话剧叫《哥本哈根》，果断要看。
史记（全十册）,9.5,"(
                    15051人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


史记是我国第一部通史。在史记之前，有以年代为次的“编年史”如春秋，有以地域为限的“国别史”如国语、战国策，有以文告档卷形式保存下来的“政治史”如尚书，可是没有上下几千年，包罗各方面，而又融会贯通，�络分明，像史记那样的通史。 唐刘知几的史通分叙六家，统归二体。所谓“二体”，就是“编年体”和“纪传体”，而史记是纪传体的创始。从此以后，历代的所谓“正史，从汉书到明史，尽管名目有改变（例如汉书改“书”为“志”，晋书改世家”为“载记”），门类有短缺（例如汉书无“世家”，后汉书、三国志等都无“表”、“志及世家”），但都有“纪”有“传”，绝无例外地沿袭了史记的体例。 据司马迁自序，史记全书本纪十二篇，表十篇，书八篇，世家三十篇，列传七十篇（包括太史公自序），共一百三十篇。今本史记一百三十卷，篇数跟司马迁自序所说的相符。但汉书司马迁传说其中“十篇缺，有录无书。三国...(展开全部)
",": 	
K204.2/1673-17",1991 纸质。2岁开始，迄今N遍。。。最早接触的非白话文书。。深受影响,这书可以读一辈子 每次看都感觉不一样,一个史书，要不要文笔这么好啊？
看见,8.8,"(
                    257755人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


《看见》是知名记者和主持人柴静讲述央视十年历程的自传性作品，既是柴静个人的成长告白书，某种程度上亦可视作中国社会十年变迁的备忘录。十年前她被选择成为国家电视台新闻主播，却因毫无经验而遭遇挫败，非典时期成为现场记者后，现实生活犬牙交错的切肤之感，让她一点一滴脱离外在与自我的束缚，对生活与人性有了更为宽广与深厚的理解。十年之间，非典、汶川地震、两会报道、北京奥运……在每个重大事件现场，几乎都能发现柴静的身影，而如华南虎照、征地等刚性的调查报道她也多有制作。在书中，她记录下淹没在宏大叙事中的动人细节，为时代留下私人的注脚。一如既往，柴静看见并记录下新闻中给她留下强烈生命印象的个人，每个人都深嵌在世界之中，没有人可以只是一个旁观者，他人经受的，我必经受。书中记录下的人与事，是他们的生活，也是你和我的生活。 《看见》中，我没有刻意选择标志性事件，也没有描绘历史...(展开全部)
",最近一段时间睡前都在读这本书中度过，一度焦躁，想要搁置，幸而最近几晚心里都很安静，仔细读完后面的几章节。读完想说：不要批评她的文艺腔，她写得非常真诚，在她剖析自己的文字里，我也看到我自己。收获的不仅是新闻业务上的感悟，更多是体味了人生中那些共通的道理和美好的情感。,2013年的第一本书，好久没有一口气不停读完几十万字了。柴静的文章，写得细致、真诚，没有戾气；不刻意煽情，却依然直指内心。她四两拨千斤的劲儿，最动人。,看到后面觉得有一点滥情，有一点“过分有同情心”。不过我作为一个滥情的人，觉得一个控制不住想要滥情的人，其实挺可爱的嘛。,在我看来，能在一本书里看到作者反思、自省和自嘲的书，就是好书。因为这比单纯犀利的抱怨、抨击、讽刺、诘问他人要难得多。
许三观卖血记,8.8,"(
                    176099人评价
                )",发自内心地觉得余华一系列作品，比如《活着》和这部，其中的人性悲剧都非常虚假。这个事情也许是真实的，就是感觉余华描述这件事情时候的情感非常虚假，不落地的同情和不真实的共鸣，特别的刻意做作。讲真还不如路遥。,写口头做菜那段，绝了！几乎难以超越了！,"屌毛比眉毛出得晚,长得倒比眉毛长",我的笔评不了余华。,读余华的小说总是有一种后怕，他笔下的那个世界如此荒谬，却曾脱胎于真实，其中的人们浑然不觉。那如今我们所生活的这个世界呢，又有多少荒谬是从未被察觉的。
悲惨世界（上中下）,9.0,"(
                    45432人评价
                )",不要轻易在小说标题里写出‘世界’两个字，除非你也能写出这样自成世界的作品。,雨果，法国姚雪垠（？）好久没看到这么明目张胆地在小说里插入专栏内容的操作了，很惊人。在中二期读可能会觉得有趣一些，但现在是燃不起激情去跟随道德和革命的浪漫了。珂赛特整个是虚的，飘在云端里，光环耀花眼睛，马吕斯又太过于熟悉，常在知乎和管院看到，倒让人想看看这一对璧人鸡零狗碎的婚后生活。学运组织真实纸片人，读来让我深刻认识到自己资产阶级的劣根性，确实是看不出这革命想干嘛。冉阿让最应该铺的监狱生活不怎么...,冉阿讓，第一個告訴我怎麼做人的人。,这是一本儿伟大的书。就算我挑剔她华丽堆砌的词藻，嘲笑她毫无节制的戏剧化，还有自鸣得意般洋洋洒洒的且蔓且枝、宽阔浩瀚，但都无损于她的伟大。此外，她充满了光明，感人至深。,那时候被芳仙的故事震撼了……
哭泣的骆驼,8.9,"(
                    41799人评价
                )",哭泣的骆驼 陌生人的死 哑奴 要怎样才能帮助所有人 冷漠何等磨人,每一个故事都那么真实动人，大胡子与我好温馨…,《哑奴》真是看一次哭一次。,那时候读得酣畅淋漓的书，令我对那个遥远的地域充满好奇,19本的三毛全集，初中时候一本本买齐的，我真是按部就班的好孩子。
浪潮之巅,9.0,"(
                    24862人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


吴军博士，毕业于清华大学计算机系（本科）、电子工程系（硕士）和美国约翰 · 霍普金斯大学计算机科学系（博士）。在清华大学和约翰 · 霍普金斯大学期间，吴军博士致力于语音识别、自然语言处理，特别是统计语言模型的研究。他曾获得1995年全国人机语音智能接口会议的最佳论文奖和2000年Eurospeech的最佳论文奖。 吴军博士于2002年加入Google公司。在Google，他和Amit Singhal（Google院士，世界著名搜索专家）、Matt Cutts（Google反作弊官方发言人）等三位同事一起开创了网络搜索反作弊的研究领域，并因此获得Google工程奖。2003年，他和Google全球架构的总工程师朱会灿博士等共同成立了中日韩文搜索部门。吴军博士是当前Google中日韩文搜索算法的主要设计者。在Google其间，他还领导了许多研发项目，包括...(展开全部)
",一般一般，中国人特有的成功学气味太重。没有挣大钱或者很有社会影响就不重要吗？未必。。。,除了华尔街的部分还比较有趣，其他的都比较枯燥。,语气太随意，不是一本严肃作品。,普及性介绍没有什么洞见9.1分有过誉之嫌
艺术的故事,9.6,"(
                    12864人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


恩斯特·贡布里希爵士（Sir. Ernst Gombrich）（1909——2001）生于维也纳，并在维也纳大学攻读美术史。1936年移居英国，进入伦敦大学瓦尔堡大学。曾任牛津大学斯莱德美术讲座教授，哈佛、康奈尔等多所大学的客座教授，并于1972年被英王授封勋爵。主要学术著作有《艺术的故事》《秩序感》《象征的图像》等。贡布里希善于以简明晓畅的语言来表达严肃的题目，以便初入门者能轻松学习。 范景中，1951年11月生于天津。1977年考入北京师范大学哲学系。1979年入浙江美术学院攻读艺术理论研究生，获硕士学位。先后任《美术译丛》和《新美术》主编、中国美术学院教授、博士生导师、图书馆馆长、出版社总编等职。 杨成凯，笔名林夕。1941年生，山东招远市人。1981年毕业于中国社会科学院语言系，获硕士学位。1981年起在中国社会科学院语言研究所从事研究工作，...(展开全部)
",实际上根没有艺术其物。只有艺术家，他们是男男女女，具有绝佳的天资，善于平衡形状和色彩以达到“合适”的效果；更难得的是，他们是具有正直性格的人，绝不肯在半途止步，时刻准备放弃所有省事的效果，放弃所有表面上的成功，去经历诚实的工作中的辛劳和痛苦。,"其实这本书应该好好电子化,把里面的各种链接做好,在各种平板设备里一点就直接出来了,实体书翻过去翻过来确实稍显麻烦,有可能的话用上高分辨率的图,Google不是都扫描了这么多画么...反正现在屏幕的dpi都印刷品级别的了,可以放大好好研究一番...",這是我少有的讀了導論就想要打五星的書，大概是我進大學之後看過的最喜歡的一本書了。全書脈絡清晰，循循善誘，思維連貫，處處流露出一位博學多才的藝術史專家對藝術的真摯熱愛。看得直呼過癮，也感慨以前的藝術博物館幾乎都白去了。向每一位朋友推薦。,终于在注意力的极限到来之前把这本书读完了，序言、作为结尾的最后两章是全书的精华。《艺术的故事》好在它不仅是“艺术作品的整齐排列”，更重要的是一种全局视角的历史切入。贡布里希不仅是在完成一本词典一般的艺术史著作，更重要的是他在给初步接触艺术史的人一种看艺术品的视角，一种很难得的审美教育——怎么看待艺术，艺术是什么。感动于它恭谦又富有幽默感却也不失严肃的叙事，感觉像是在听老爷爷讲故事一般，非常喜欢。推...
灿烂千阳,8.8,"(
                    85909人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


私生女玛丽雅姆在父亲的宅院门口苦苦守候，回到家却看到因绝望而上吊自杀的母亲。那天是她十五岁的生日，而童年嘎然而止。玛丽雅姆随后由父亲安排远嫁喀布尔四十多岁的鞋匠拉希德，几经流产，终因无法生子而长期生活在家暴阴影之下。 十八年后，少女莱拉的父母死于战火，青梅竹马的恋人也在战乱中失踪，举目无亲的莱拉别无选择，被迫嫁给拉希德。两名阿富汗女性各自带着属于不同时代的悲惨回忆，共同经受着战乱、贫困与家庭暴力的重压，心底潜藏着的悲苦与忍耐相互交织，让她们曾经水火不容，又让她们缔结情谊，如母女般相濡以沫。然而，多年的骗局终有被揭穿的一天…… 她们将做出如何的选择？她们的命运又将何去何从？ 关于不可宽恕的时代，不可能的友谊以及不可毁灭的爱。《灿烂千阳》再次以阿富汗战乱为背景，时空跨越三十年，用细腻感人的笔触描绘了阿富汗旧家族制度下苦苦挣扎的妇女，她们所怀抱的希望、爱情...(展开全部)
",人们数不清她的屋顶上有多少轮皎洁的明月，也数不清她的墙壁之后那一千个灿烂的太阳。,"我很喜欢读伊斯兰国家的故事，胡塞尼把我带进这个世界。但是读了那么多关于他们的书，不得不说，穆斯林的人生充满了太多的不幸，苦难，但他们又比谁的人生都更加饱满。虽然不曾经历过战乱，饥饿，流离失所，但却在作者的笔下感受的那么深刻。
生活在天朝的我们，生活也许有很多的不如意，但是相较他们，我们幸福太多了。要懂得珍惜，要懂得的感恩。
如果能有一千个灿烂的太阳去驱逐阿富汗的灰暗当然是好的，但更希望能有一天，纵...",比追风筝的人好看，虽然作者依旧亲美，但是已经比上一本收敛多了。上次是一群男主角，这次是一群女主角。这几个女人的不幸遭遇背后是整个阿富汗（或者说是极端教义下的穆斯林）女性的不幸。男性也有不幸，但相对于不能掌控自己命运的活受罪来说，被利用战死也算是还好吧。情节算是比较跌宕起伏的了，可读性很强。由于前面不少的铺垫让后来那封信努戳泪点。唉。“我跟你说这些话，是想让你知道害怕是正常的反应。你不用为此觉得羞愧...,一个女人可以怎样度过她的一生？可以隐忍多少命运的负荷？看过塔利班的『教义』之后发现，『自由』的范围从阿富汗到中国到美丽的国家，差距还真不是一星半点。
白鹿原,9.2,"(
                    31502人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


在从清末民初到建国之初的半个世纪里，一阵阵狂风掠过了白鹿原上空，而每一次的变动都震荡着它的内在结构：打乱了再恢复，恢复了再打乱，细腻地反映出白姓和鹿姓两大家族祖孙三代的恩怨纷争。陈忠实先生在这里，人物的命运是纵线，百回千转，社会历史的演进是横面，愈拓愈宽，传统文化的兴衰则是全书的精神主体，以至人、社会历史、文化精神三者之间相互激荡，相互作用，共同推进了作品的时空，在我们眼前铺开了一轴恢宏的、动态的、极富纵深感的关于我们民族灵魂的现实主义的画卷。 新版《白鹿原》特色： 1、完整呈现了1993年最原始版本。 2、全新精装本。内附多幅彩插，包括作者旧照、手稿影印件。更有电影《白鹿原》的美术设计师创作的精美插图首次面世。 3、全书浓缩着深沉的民族历史内涵，有令人震撼的真实感和厚重的史诗风格。 4、本书1997年荣获中国长篇小说最高荣誉--第四届茅盾文学奖。已...(展开全部)
",看完觉得有些读《静静的顿河》的感觉。对于鹿兆鹏和白孝文，还是朱先生的评价一语中的：都不是君子。,好喜欢黑娃，可惜死了。。。。,朱先生说：“毛的书我看过，书是写得好，人也有才。可孙先生也有才气，书同样写得好，他们都是治国兴邦的领袖。可你瞅瞅而今这个鸡飞狗跳墙的世道，跟三民主义对不上号嘛！文章里的主义是主义，世道还是兵荒马乱鸡飞狗跳……“黑娃悄声说：”听说延安那边清正廉洁，民众爱戴。”朱先生说：“得了天下以后会怎样，还得看。我看不到了，你能看到。”,遍地的黄土，满满的粮仓，豪情的爷们，骚气的婆娘，槽里的牲口，雨后的土香，严厉的家法，世代的交往，死板的族规，乱跳的心脏，破烂的窑洞，冒烟的烟枪，扎肉的草席，放肆的欲望，打滚的娃娃，水灵的姑娘，彪悍的土匪，贪婪的军阀，直挺的腰杆，隐匿的才子，理想的主义，怒吼的秦腔。
卡拉马佐夫兄弟,9.4,"(
                    12877人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


陀思妥耶夫斯基（Ф.М.Достоевкий，1821～1881），俄国19世纪文坛上享有世界声誉的一位小说家，他的创作具有极其复杂、矛盾的性质。  陀思妥耶夫斯基生于医生家庭，自幼喜爱文学。遵父愿入大学学工程，但毕业后不久即弃工从文。在法国资产阶级革命思潮影响下，他醉心于空想社会主义，参加了彼得堡进步知识分子组织的彼得拉舍夫斯基小组的革命活动，与涅克拉索夫、别林斯基过往甚密。  1846年发表处女作《穷人》，继承并发展了普希金《驿站长》和果戈里《外套》写“小人物”的传统，对他们在物质、精神上备受欺凌、含垢忍辱的悲惨遭遇表示深切同情。唤醒他们抗议这个不合理的社会制度。  《双重人格》（1846）、《女房东》（1847）、《白夜》（1848）和《脆弱的心》（1848）等几个中篇小说使陀思妥耶夫斯基与别林斯基分歧日益加剧，乃至关系破裂。后者认为上述...(展开全部)
",卡拉马佐夫一家，是人类心灵受到困扰的缩影。老卡拉马佐夫极端世俗化，他沉湎于官能享乐，心中没有神明和道德的束缚，大多数人好像都在这个处境。阿辽沙是极端的另一头，他是道德、善行、圣洁的化身。而米嘉则在这两种典型的极端中不断受到诱惑，摇摆，他也纵情欢乐，但又无法像父亲那样彻底，因为他身上阿辽沙的一面并未完全消失。至于伊万，他是陀氏小说的主角，延续了《罪与罚》拉斯科尔尼柯夫的“超人”思想，本书最重要的一章...,“上班时间不要看小说。”“嗯，好的。我在研究卷宗。”,愿我们的心走向辽阔，如奔腾出海的河流。,荣如德在译后记中写道：“极而言之，陀思妥耶夫斯基就是俄罗斯。” 看完这本书后，毫不夸张的说，陀思妥耶夫斯基是全世界。
树上的男爵,9.1,"(
                    19800人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


在大陆，王小波、苏童、阿城、止庵是他的忠实粉丝 在台湾，朱天文，唐诺是卡尔维诺不余遗力的传播者 在香港，梁文道说他一直在准备谈卡尔维诺，可是一直没准备好 权威版本，全面修订2006年单行本译本，并增补卡尔维诺各作品自序、后记、注释等重要资料 知名设计师全新装帧，精装双封设计，书脊烫金，封面采用原创线条图，赋予每部作品文学个性 卡尔维诺 “我们的祖先”三部曲之一。“我们的祖先”三部曲包括：《不存在的骑士》《分成两半的子爵》《树上的男爵》，这三个故事代表通向自由的三个阶段，关于人如何实现自我的经验：在《不存在的骑士》中争取生存，在《分成两半的子爵》中追求不受社会摧残的完整人生，在《树上的男爵》中有一条通向完整的道路——这是通过对个人的自我抉择矢志不移的努力而达到的非个人主义的完整。 一次倔强的反抗，让科希莫从十二岁起就决定永不下树。从此，他一生都生活在树...(展开全部)
","

.intro p{text-indent:2em;word-break:normal;}


伊塔洛•卡尔维诺(Italo Calvino,1923—1985) 意大利当代最具有世界影响的作家。于1985年获得诺贝尔文学提名，却因于当年猝然去世而与该奖失之交臂。但其人其作早已在意大利文学界乃至世界文学界产生巨大影响。 卡尔维诺从事文学创作40年，一直尝试着用各种手法表现当代人的生活和心灵。他的作品融现实主义、超现实主义与后现代主义于一身，以丰富的手法、奇特的角度构造超乎想像的、富有浓厚童话意味的故事，深为当代作家推崇，并给他们带来深刻影响。《我们的祖先》三部曲、《命运交叉的城堡》、《帕洛马尔》等达到惊人的艺术高度和思想深度。《意大利童话》最大限度地保持了意大利民间口头故事的原貌，艺术价值和学术价值兼具，是再现意大利“民族记忆”之深厚积淀的不可多得的作品。《美国讲稿》是卡尔维诺对自己近40年小说创作实践的丰富经验进行的系统回顾和理论上的总结与阐...(展开全部)
",精彩、动人、幽默、充满想象力，卡尔维诺果然名不虚传！他说他阐释了一个知识分子该如何在时代的洪流之中进退，我想，这便是一个理想主义者，为了建设一个美好的世界而坚持不懈的一生。“柯希莫·皮奥瓦斯·迪·隆多——生活在树上——始终热爱大地——升入天空”，男爵的墓志铭总结了一切。他反抗世俗，却不厌世，保持距离是为了“与他人真正的在一起”，是为了“通过对个人的自我抉择矢志不移的努力而达到的非个人主义的完整”。...,“大概做人不想太委曲，都將要絕種。我不屑為求相擁，可啞忍到心裏裂縫。若我所見不相同，獨守一角青空。”“忘我和自我不易兩全，讓我忍痛一刀就這麼兩斷。換到飽暖失去自己一世不甘願，任你嘲笑孤僻也好偏激也好只會自詡清高也好，好過純淨的嘴臉，被媚俗的唇扭轉。”,“许多年以来，我为一些连对我自己都解释不清的理想而活着，但是我做了一件好事情：生活在树上。”最后一章忽然悲从中来。很多时候都有读马尔克斯的感觉。
窗边的小豆豆,8.7,"(
                    144293人评价
                )",教育，就是要蹲下，看看孩子们所看的高度。,一所宽松的学校，一个宽容的好校长。,“教育更多不应该是为受教育者找答案，而是给他们找自己答案的勇气与能力。” 这句话说得多好呀。所以，校长在看到小彻子挖粪池、捞钱包的时候，没有去阻止她的，校长不用成人世界的条条框框和精致规矩做一只笼子把小彻子“关”起来。一个不墨守成规、耐心聆听孩子需求、有创造力的老师，令巴学园如此不同。大家努力，让世界上有更多这样的幼稚园和学校吧！,做一颗小红花真的是生活所迫，如果可以我想做颗小豆豆，想发芽就发芽，不想发芽就不发芽。。,一边在读小豆豆，一边在看虎妈。两种教育之间不好说哪一种是完美正确的，可教育只有因材施教才是最适合的。不过，这只是小学阶段，在教育竞争愈发激烈的东亚地区，所有的教育都会屈服于考试分数下。
爱你就像爱生命,8.8,"(
                    77152人评价
                )"," 弗洛姆认为，人人都有怦然心动和陷入心醉神迷的感情的可能性。可是，众所周知，如何保有爱的韧度和亮度，却是世间最艰难的工程。 
　　 
　　 有人说“爱既取决于对象，也取决于能力。”前者表明，爱不可能靠一个人的力量来完成的。据说莎翁说过这样的话：“多爱爱自己/是胆怯的小动作/如果爱的话/无论他怎样转动/都会爱/要么就不够得上爱了”记得当时我跟告诉我这句话的姑娘说，这是伟人说的白痴话。最动人的爱永远都...",你要是回来我就高兴了，马上我就要放个震动北京城的大炮仗。,"""你好哇，李银河。""哈哈哈这个开头太可爱了。恋爱中的男人是傻子，是孩子，是傻孩子。",你好哇，李银河！——但愿我和你，是一支唱不完的歌。——爱你就像爱生命！,"我的灵魂里有很多地方玩世不恭 ，对人傲慢无礼，但是它有一个核心，这个核心害怕黑暗，柔弱得像绵羊一样。只有顶平等的友爱才能使他得到安慰。你对我是属于这个核心的。我是爱你的，看见就爱上了。我爱你爱到不自私的地步。我会不爱你吗？不爱你？不会。爱你就像爱生命。
"
邓小平时代,9.1,"(
                    24438人评价
                )",港版，当时是因为前段时间看蒋经国传，邓老和建丰同志是同学，刚好同期对比下两岸第二代领导人。邓老最厉害的一点就是能抓住事情的本质，事实说话。看完这本书我才了解为什么宣传他是『总设计师』。#国人必读,在书店翻完就成，买回家则如同鸡肋。傅高义写这部书的初衷就是向西方人介绍邓小平和他经历过的大时代，可叹的是，今天我们却要把这样一部写给别人的入门书当作我们了解自我的红宝书。,看的是港版。,盛名之下其实难副，看前言觉得作者好牛逼接触了这么多高端人士总该有点不一样的内容吧，结果无论观点还是材料，几乎没有太多值得称道的地方，总体说来很主流很官方很环球时报，考虑到大陆本的阉割问题还down了港版check了一遍，出入不算大。,总有人希望这本书能有别出心裁的史料和观点，其实这本书最大的贡献在于理清了从1977年到1992年所有历史事件的脉络
人间词话,9.0,"(
                    35603人评价
                )",向爱词的小朋友强烈推荐，个人以为论词之精辟，无过于王老先生。,上海古籍版不错。相比于中华书局版。反正更适合我看我觉得。中华书局版只有出处，上海古籍还有少许注释。而人民文学版注释就太多了影响阅读,国学庞大、深奥、驳杂，等闲人哪能阅尽全部。还好可以追随大师脚步，走马观花一番。另：看这类书还是实体书好，好久不看文言文，都生疏了。,"1. 真·旁征博引，查注释与诗词所费时乃看书三倍余，半月余方囫囵吞枣一番，浅尝则止未解深意。世人皆知其三重境界，窃以为王国维之境界尽在一字中——美。
2.常读常新。此读，感受至深有二：
「诗人对宇宙人生，须入乎其内，又须出乎其外。入乎其内，故能写之；出乎其外，故能观之。入乎其内，故有生气；出乎其外，故有高致。」
「诗人必有轻视外物之意，故能以奴仆命风月。又必有重视外物之意，故能与花草共忧乐。」
3...",无论是评，或是创作，均为一等。
我们仨,8.7,"(
                    219559人评价
                )",“我们只有死别，没有生离。”,生活上或许幼稚，政治上绝对成熟。,我和谁都不争，和谁争我都不屑；我爱大自然，其次就是艺术；我双手烤着生命之火取暖；火萎了，我也准备走了． ,一开始不懂第二部分，于是从第三部分开始看，最后再看第二部分，才知道是用梦境的形式写钱钟书和女儿逝世前的日子。非常钦佩杨绛先生书里体现出来的克制，在90多岁的高龄，回忆已经离世的丈夫和女儿，但书里不见痛彻心扉，反而常常因一些生活中的细节感到忍俊不禁。很多人纪念杨绛先生朋友圈刷了屏，她的只言片语也成了感悟人生的鸡汤，可是，先生的学识、背景、品格，我们只不过见了冰山一角而已。知乎上有个问题“如何评价杨绛...,四星半，感深肺腑。不愿摧眉折腰事权贵，并非铁骨铮铮，只是生性腼腆淡泊，但求尽情看自己想读的书，过平静的日子而已。腹有诗书的傲气亦并非盛气凌人，而是精神世界的丰盛，可以让他们在物质最匮乏的时期都能不予介怀。可惜世事动荡如浮萍，远离是非的三人，却仍然历经风雨飘摇。我们仨饱尝苦楚，但杨绛的记忆之笔没有昼吟宵哭，反而满目尽是幸福温馨的甜蜜时刻。钱钟书因为听说安排要和某人握手，立刻溜走回家；留洋学业繁忙占据...
